id,sid,time
11496,10204,50021
11496,10203,50028
11496,10202,50035
11496,10201,50042
18185,10304,50065
18185,10303,50072
18185,10302,50079
18185,10301,50086
18954,10204,50386
18954,10203,50393
11736,10304,50394
15256,10204,50396
18114,10204,50397
11736,10303,50401
12478,10304,50403
15256,10203,50403
18230,10304,50403
18114,10203,50405
14913,10204,50407
16710,10204,50408
12478,10303,50410
18230,10303,50410
11440,10304,50414
12469,10304,50414
14913,10203,50414
18340,10204,50414
16710,10203,50416
12478,10302,50417
12469,10303,50421
16248,10304,50421
18340,10203,50421
13090,10204,50424
14231,10304,50425
16710,10202,50425
13763,10204,50426
17748,10204,50427
12469,10302,50428
16248,10303,50429
17937,10204,50429
18340,10202,50429
19566,10204,50430
13090,10203,50431
14231,10303,50432
13763,10203,50433
17550,10304,50433
19593,10204,50433
10440,10304,50434
10736,10304,50434
17748,10203,50435
13011,10304,50436
13281,10304,50436
16248,10302,50437
14704,10204,50438
19566,10203,50438
13090,10202,50439
14231,10302,50440
15560,10204,50440
17550,10204,50441
19593,10203,50441
10736,10303,50442
13738,10304,50442
13812,10204,50442
13011,10303,50445
13281,10303,50445
14653,10204,50445
18993,10304,50445
12635,10304,50447
15560,10203,50448
19566,10202,50448
17550,10203,50450
13738,10303,50451
13812,10203,50451
13011,10302,50453
13281,10302,50453
18993,10303,50453
14653,10203,50454
17779,10304,50456
18924,10204,50457
15560,10202,50458
13738,10302,50460
15264,10304,50460
14791,10204,50461
17550,10202,50461
14842,10204,50462
17124,10304,50464
17779,10303,50464
18924,10203,50464
14653,10202,50465
19300,10204,50465
15398,10304,50467
18671,10204,50467
15264,10204,50468
14791,10203,50469
14458,10304,50470
17223,10304,50470
13623,10204,50471
19931,10204,50472
17124,10303,50473
17446,10304,50473
19818,10304,50474
17086,10204,50475
17823,10204,50475
15398,10204,50476
18671,10203,50476
19091,10304,50476
13102,10304,50478
10135,10204,50479
13648,10304,50479
14458,10303,50479
14791,10202,50480
16274,10304,50480
16610,10304,50481
19931,10203,50482
19818,10303,50484
11175,10204,50485
12912,10304,50485
17823,10203,50485
19091,10204,50485
17086,10203,50486
15398,10203,50487
18671,10202,50487
13102,10303,50488
13648,10303,50489
14458,10302,50489
10135,10203,50490
16274,10303,50490
16534,10304,50492
19931,10202,50493
19818,10302,50494
16658,10204,50495
12912,10204,50496
17823,10202,50496
16337,10304,50497
13648,10302,50499
15398,10202,50499
16274,10302,50500
17605,10204,50500
18972,10304,50500
10135,10202,50502
16534,10303,50502
16658,10203,50505
12912,10203,50507
13204,10304,50507
18972,10303,50511
17430,10204,50512
13181,10204,50515
15229,10304,50515
16658,10202,50516
17662,10304,50516
19321,10204,50516
11771,10304,50517
13204,10303,50517
12912,10202,50519
13954,10304,50519
11464,10304,50522
18972,10302,50522
17654,10204,50524
15229,10303,50525
12260,10304,50526
17662,10303,50526
11771,10303,50527
15285,10204,50529
13954,10303,50530
16977,10304,50532
11464,10303,50533
15229,10302,50535
17654,10203,50535
12024,10304,50536
13205,10204,50536
12260,10303,50537
11771,10302,50538
10565,10304,50541
11589,10304,50542
13954,10302,50542
16977,10303,50542
16746,10204,50544
10019,10204,50545
14990,10304,50548
10572,10204,50549
12260,10302,50549
16464,10304,50550
11589,10303,50553
16977,10302,50553
10760,10304,50556
16746,10203,50556
14990,10303,50559
16099,10204,50560
15778,10204,50561
10572,10203,50562
17048,10304,50563
10760,10303,50567
16746,10202,50567
18242,10304,50569
18076,10204,50570
11726,10204,50571
13583,10304,50572
16099,10203,50573
17455,10304,50573
10572,10202,50574
15778,10203,50574
19635,10204,50576
13219,10304,50580
14692,10304,50580
18076,10203,50583
19154,10304,50583
11726,10203,50585
16099,10202,50585
17455,10303,50585
13207,10304,50588
11040,10204,50589
15478,10304,50590
19635,10203,50590
14435,10204,50591
18999,10204,50591
13219,10303,50592
14692,10303,50593
16752,10304,50593
18076,10202,50595
17455,10203,50597
10765,10304,50598
11726,10202,50598
13289,10204,50598
17703,10304,50598
16099,10201,50599
13207,10303,50601
17063,10204,50602
15478,10303,50604
13219,10302,50605
14435,10203,50605
11833,10204,50606
13544,10304,50606
15997,10304,50607
10765,10303,50612
17703,10303,50612
14448,10204,50613
13207,10302,50614
19276,10204,50615
17063,10203,50616
15478,10302,50618
18335,10304,50619
13544,10303,50620
11833,10203,50621
15997,10303,50621
10791,10204,50622
18763,10304,50622
19180,10204,50623
10548,10204,50625
14537,10204,50626
17703,10302,50626
19394,10304,50626
11517,10304,50628
13127,10204,50628
13207,10202,50628
14448,10203,50628
15507,10204,50630
19585,10304,50634
15997,10302,50635
18763,10303,50636
10791,10203,50637
15058,10304,50638
19394,10303,50640
10774,10204,50642
11517,10303,50642
14448,10202,50642
12347,10204,50643
14537,10203,50643
17524,10304,50643
