id,sid,time
10309,10404,49805
10309,10403,49812
10309,10402,49819
10309,10401,49826
13578,10404,50028
13578,10403,50035
13578,10402,50042
13578,10401,50049
10406,10404,50433
19414,10404,50436
10406,10403,50440
19414,10504,50443
19023,10404,50444
10406,10402,50447
10078,10404,50450
18039,10504,50450
11097,10404,50451
17385,10404,50457
18039,10503,50457
10202,10504,50459
11097,10403,50459
15348,10504,50460
10062,10504,50466
10202,10503,50466
10775,10404,50467
15348,10503,50467
10202,10502,50473
16533,10504,50473
15083,10504,50476
16542,10504,50478
16533,10503,50481
17434,10404,50482
17750,10504,50482
12888,10404,50484
15083,10503,50484
10983,10504,50485
14034,10404,50485
16542,10503,50487
10427,10504,50490
13744,10504,50491
17434,10403,50491
17959,10404,50491
15083,10502,50492
19331,10404,50493
14034,10403,50494
10163,10504,50496
16542,10502,50496
10427,10503,50499
17023,10404,50499
13744,10503,50500
17959,10403,50500
14034,10402,50502
19331,10403,50503
14257,10404,50504
10163,10404,50505
18182,10504,50506
10427,10403,50508
17023,10403,50508
13744,10502,50509
17053,10404,50511
19331,10402,50511
12019,10404,50512
14257,10403,50513
18182,10503,50514
17023,10402,50516
16655,10504,50520
17159,10404,50520
17053,10403,50521
12019,10403,50522
14257,10402,50522
18182,10403,50522
19812,10404,50522
16655,10503,50529
17300,10404,50529
14257,10401,50530
17159,10403,50530
12019,10402,50531
18182,10402,50531
19812,10403,50532
13794,10404,50535
16655,10502,50537
11002,10504,50539
15234,10404,50539
13794,10403,50545
11002,10503,50547
18878,10504,50549
11002,10502,50555
18878,10503,50557
15905,10504,50560
13050,10504,50564
18878,10502,50565
19365,10504,50568
16271,10404,50571
11596,10504,50573
12854,10504,50578
14582,10504,50581
16271,10403,50581
11596,10503,50583
10659,10504,50584
12854,10503,50588
12625,10504,50589
14582,10503,50591
16271,10402,50591
10659,10503,50594
15437,10404,50594
15769,10404,50594
10803,10504,50595
11626,10404,50600
12625,10503,50600
14582,10502,50600
15437,10403,50604
10803,10503,50605
14533,10404,50606
14582,10501,50609
12625,10502,50610
11626,10403,50611
11735,10404,50611
14707,10504,50615
14533,10403,50617
11735,10403,50622
16146,10504,50624
14707,10503,50625
14533,10402,50628
17917,10404,50632
16146,10503,50634
14707,10502,50635
11495,10504,50640
10670,10404,50646
11495,10404,50650
13913,10504,50653
11355,10504,50662
13913,10503,50662
10896,10404,50670
19218,10504,50670
13913,10502,50672
11950,10404,50674
16695,10504,50676
19218,10503,50680
10896,10403,50682
11950,10403,50686
16695,10503,50686
18704,10504,50688
19216,10504,50688
16594,10404,50693
18704,10503,50698
19216,10503,50699
15409,10404,50702
12306,10404,50704
11444,10404,50706
17416,10404,50709
18704,10502,50709
12306,10403,50716
11585,10504,50721
17416,10403,50722
12306,10402,50728
11585,10503,50731
15561,10504,50731
13724,10504,50732
17092,10404,50732
14781,10504,50733
17416,10402,50734
12662,10504,50735
14806,10504,50737
16078,10404,50737
10416,10404,50738
14408,10504,50741
15561,10503,50741
13416,10504,50743
13724,10503,50743
14781,10503,50743
18232,10504,50745
12055,10504,50746
12662,10503,50747
13423,10504,50748
14806,10503,50749
16078,10403,50751
10416,10403,50752
10931,10404,50753
14408,10503,50753
15561,10502,50753
19192,10504,50753
11081,10504,50755
13416,10503,50755
13724,10502,50755
14781,10502,50755
10107,10504,50756
16323,10504,50757
18232,10503,50757
12055,10503,50758
12662,10502,50760
13423,10503,50760
18150,10504,50762
16078,10402,50763
10416,10402,50764
19192,10503,50765
13666,10504,50766
14408,10502,50766
11081,10503,50767
10107,10503,50768
13416,10502,50768
12758,10404,50769
16323,10503,50769
19010,10504,50770
12055,10502,50771
18232,10403,50771
13423,10403,50773
14866,10404,50773
18150,10404,50774
13666,10503,50777
14161,10504,50778
19192,10502,50779
16858,10504,50780
19010,10404,50781
10107,10502,50782
12758,10403,50782
15586,10404,50782
18232,10402,50784
14866,10403,50787
15081,10504,50787
13434,10504,50788
16263,10404,50788
18150,10403,50788
13666,10502,50790
16858,10404,50790
13735,10504,50792
13044,10504,50793
12758,10402,50795
13510,10504,50796
15586,10403,50796
19010,10403,50796
13434,10503,50799
14866,10402,50800
18200,10504,50800
19887,10504,50800
18150,10402,50801
19460,10404,50802
13735,10503,50803
16263,10403,50803
13044,10404,50804
19802,10504,50806
11523,10504,50809
14646,10404,50809
15586,10402,50809
19010,10402,50809
12924,10504,50810
10500,10504,50811
18200,10503,50812
11320,10404,50813
19887,10503,50813
14790,10504,50815
13735,10502,50816
16263,10402,50816
18222,10404,50817
12394,10504,50819
13902,10404,50819
11523,10404,50822
12924,10503,50823
10500,10503,50824
14646,10403,50824
10835,10404,50826
18200,10502,50826
15395,10504,50827
14790,10503,50828
11320,10403,50829
14133,10504,50829
18203,10504,50829
12394,10503,50832
15039,10504,50832
18222,10403,50832
13700,10504,50833
12313,10504,50834
13902,10403,50835
19141,10404,50835
15647,10404,50836
17931,10404,50837
10233,10504,50838
13028,10504,50838
15764,10404,50838
11523,10403,50839
15395,10503,50839
15061,10504,50840
10162,10404,50841
14133,10503,50841
10835,10403,50842
18203,10503,50842
18236,10504,50842
14790,10502,50843
15039,10404,50844
13869,10404,50845
13700,10503,50846
13884,10404,50846
12313,10503,50847
12394,10502,50847
13515,10504,50848
16250,10504,50851
19141,10403,50851
13028,10503,50852
15647,10403,50852
14158,10504,50854
15395,10502,50854
17931,10403,50854
15061,10503,50855
15247,10504,50855
15764,10403,50855
12075,10404,50856
14133,10502,50856
18236,10503,50856
10162,10403,50858
17942,10404,50859
15039,10403,50860
13515,10503,50861
13700,10502,50862
12313,10502,50863
13884,10403,50863
16775,10404,50864
16144,10404,50866
19141,10402,50866
15647,10402,50867
13028,10403,50868
15247,10503,50868
16352,10404,50868
17931,10402,50870
12075,10403,50872
15061,10403,50872
17551,10404,50872
12141,10504,50873
13272,10404,50873
10162,10402,50875
15271,10404,50875
17208,10404,50875
17942,10403,50876
16871,10504,50877
12739,10404,50878
15115,10404,50880
16144,10403,50883
15247,10502,50884
16204,10504,50884
12141,10404,50886
19629,10404,50888
12075,10402,50889
18479,10504,50889
13272,10403,50890
15061,10402,50890
16871,10503,50890
12593,10504,50893
15271,10403,50893
13342,10404,50895
16204,10503,50898
11847,10504,50899
16144,10402,50901
15247,10402,50902
10636,10504,50903
