id,sid,time
11383,10704,49819
11383,10703,49826
11383,10702,49833
11383,10701,49840
14255,10604,49995
14255,10603,50002
14255,10602,50009
14255,10601,50016
11366,10704,50406
17861,10604,50406
17861,10603,50413
16544,10704,50415
17387,10704,50417
16544,10703,50422
17387,10703,50425
13159,10604,50426
16426,10604,50426
13492,10704,50427
19995,10604,50427
18776,10704,50428
15860,10604,50429
13372,10704,50430
18997,10604,50430
17387,10702,50432
13159,10603,50433
16426,10603,50433
10317,10704,50434
11199,10704,50434
13492,10703,50434
14146,10704,50434
16849,10604,50434
19995,10603,50435
15860,10603,50437
18997,10603,50438
10882,10704,50442
11086,10704,50442
13828,10704,50442
16849,10603,50442
17847,10704,50442
18040,10604,50442
10317,10703,50443
11199,10703,50443
19995,10602,50443
18148,10704,50444
19741,10604,50444
14493,10604,50445
15860,10602,50445
16403,10604,50447
11138,10704,50449
18040,10603,50449
18077,10604,50449
18646,10604,50449
10882,10703,50451
11885,10704,50451
12597,10704,50451
18234,10704,50451
19741,10603,50451
10832,10704,50452
12134,10604,50452
17847,10703,50452
12767,10704,50454
13868,10604,50454
11191,10604,50456
16403,10603,50456
18077,10704,50457
14020,10604,50458
18040,10602,50458
18646,10603,50458
14300,10704,50459
15139,10704,50459
15637,10604,50459
19842,10604,50459
11138,10703,50460
12134,10603,50460
14290,10604,50460
15420,10704,50460
17847,10702,50460
19741,10602,50460
17445,10704,50461
18234,10703,50462
19395,10604,50462
10832,10703,50463
13868,10603,50463
14794,10704,50464
18144,10604,50465
18348,10704,50465
11191,10603,50466
12767,10703,50466
16403,10602,50466
14020,10603,50467
15637,10603,50467
18186,10604,50467
14775,10704,50468
18646,10602,50468
11138,10702,50469
14290,10603,50469
18077,10703,50469
18226,10604,50469
19842,10603,50469
19899,10604,50469
12134,10602,50470
19078,10704,50470
14288,10704,50471
10832,10702,50472
14300,10703,50472
15139,10703,50472
19395,10603,50472
13868,10602,50473
15420,10703,50473
17245,10704,50474
17445,10703,50474
14166,10604,50475
18144,10603,50475
18164,10704,50475
18186,10603,50476
19494,10604,50476
11000,10604,50477
14794,10703,50477
15236,10704,50477
18226,10603,50478
18348,10703,50478
19899,10603,50478
12718,10604,50481
17579,10704,50481
19842,10602,50481
14775,10703,50482
12320,10604,50483
13868,10702,50483
19395,10602,50483
13867,10604,50484
19078,10703,50484
14288,10703,50485
11000,10603,50486
11347,10704,50487
17245,10703,50487
18144,10602,50487
12718,10603,50489
14794,10702,50489
18952,10704,50489
13525,10604,50490
15236,10703,50490
18581,10704,50491
12320,10603,50492
13867,10603,50493
16729,10604,50493
19945,10604,50493
17579,10703,50494
14775,10702,50495
15882,10604,50495
16076,10704,50495
11640,10704,50497
14288,10702,50498
11347,10703,50499
11553,10704,50500
12718,10602,50501
17245,10702,50501
18952,10703,50501
16729,10603,50502
19945,10603,50502
15236,10702,50503
18581,10703,50503
12320,10602,50504
15315,10604,50504
15882,10603,50504
13867,10602,50505
13854,10604,50506
14561,10704,50507
17579,10702,50508
18000,10604,50508
10876,10704,50509
11640,10703,50509
18411,10604,50509
13263,10704,50511
11347,10702,50512
11553,10703,50512
16435,10704,50512
14403,10604,50513
14629,10604,50514
12320,10601,50515
18952,10702,50515
19945,10602,50515
14212,10604,50518
15601,10704,50518
18000,10603,50518
14561,10703,50519
18411,10603,50519
15891,10704,50520
10633,10604,50521
17306,10704,50522
11640,10702,50523
14403,10603,50523
15214,10704,50523
14629,10603,50524
14922,10604,50524
16435,10703,50524
11962,10704,50527
18608,10604,50527
12693,10704,50528
14212,10603,50529
10925,10604,50531
18000,10602,50531
12991,10604,50533
15891,10703,50533
15902,10604,50533
14922,10603,50534
16696,10604,50534
17306,10703,50535
10463,10704,50536
14403,10602,50536
17822,10704,50537
14629,10602,50538
16435,10702,50538
11962,10703,50541
16598,10704,50541
10925,10603,50542
12693,10703,50542
14613,10704,50543
12991,10603,50544
17575,10604,50544
15902,10603,50545
16573,10604,50545
12906,10604,50546
14922,10602,50548
10463,10604,50549
17306,10702,50549
17877,10704,50551
13023,10704,50553
17078,10704,50554
14123,10704,50555
17575,10603,50555
19690,10604,50555
16573,10603,50556
10206,10604,50557
12906,10603,50557
14613,10703,50557
10401,10604,50558
12991,10602,50559
10463,10603,50560
15902,10602,50560
10873,10704,50561
16804,10704,50561
11805,10604,50563
17877,10703,50565
19512,10704,50565
13041,10704,50566
18562,10604,50567
19690,10603,50567
13023,10703,50568
13789,10604,50569
10182,10704,50570
14123,10703,50570
13691,10704,50571
16573,10602,50571
14613,10702,50572
16194,10704,50573
11805,10603,50574
10463,10602,50575
15832,10704,50576
10873,10703,50577
16804,10703,50577
14392,10704,50579
17316,10704,50579
18562,10603,50579
11317,10604,50580
19512,10703,50581
13041,10703,50582
19690,10602,50583
12209,10704,50584
10182,10703,50586
14123,10702,50586
13691,10703,50587
15575,10704,50587
11805,10602,50589
16194,10703,50589
18262,10704,50589
18977,10704,50589
10463,10601,50590
11317,10603,50591
14959,10604,50591
11488,10604,50592
17534,10704,50592
15832,10703,50593
16804,10603,50594
17072,10704,50595
18562,10602,50595
13099,10604,50596
