id,sid,time
10705,10804,49935
10705,10803,49942
10705,10802,49949
10705,10801,49956
13146,10804,50426
16141,10904,50426
19976,10904,50426
13146,10803,50433
19214,10904,50433
19976,10804,50433
10275,10904,50439
11181,10904,50440
16416,10904,50440
10300,10904,50443
14387,10804,50443
10275,10903,50446
11181,10903,50448
13781,10904,50448
16416,10903,50448
19525,10904,50449
14387,10803,50450
10300,10903,50451
12642,10904,50451
10275,10902,50453
12708,10904,50453
18723,10904,50453
11181,10902,50455
16416,10902,50455
13781,10903,50456
14369,10904,50457
12642,10903,50459
12813,10804,50461
12708,10903,50462
16939,10904,50462
18723,10903,50462
11228,10904,50463
12931,10904,50465
10235,10804,50467
12813,10904,50468
12708,10902,50470
16939,10903,50470
15995,10804,50472
12931,10903,50474
10235,10803,50475
16666,10804,50475
16691,10804,50475
12598,10904,50476
14423,10804,50476
10578,10904,50477
12813,10903,50478
13411,10804,50478
13826,10904,50479
15995,10803,50479
17868,10904,50479
14978,10904,50480
10235,10802,50483
16666,10803,50483
14423,10904,50484
12598,10903,50485
14380,10904,50486
19604,10804,50486
13411,10904,50487
13826,10903,50489
17868,10903,50489
14774,10904,50490
14978,10903,50490
18811,10904,50490
16666,10802,50491
11934,10804,50494
14423,10903,50494
19604,10803,50494
19879,10804,50494
14380,10903,50497
14335,10804,50498
15109,10804,50498
13826,10902,50499
17868,10902,50499
18811,10903,50500
12301,10804,50501
14774,10903,50501
14978,10902,50501
16952,10804,50501
13968,10904,50502
15499,10904,50502
19604,10802,50502
19879,10803,50502
11150,10904,50505
10693,10804,50506
14321,10904,50506
15109,10803,50506
17868,10802,50508
18062,10804,50509
16952,10803,50511
18811,10902,50511
14774,10902,50512
15499,10903,50512
15702,10904,50512
11278,10904,50513
17973,10904,50513
10693,10803,50515
10455,10804,50516
16778,10904,50517
18062,10803,50518
17965,10804,50520
18811,10901,50520
11029,10904,50523
15702,10903,50523
10693,10802,50524
11265,10804,50524
17973,10903,50524
17269,10804,50526
18062,10802,50527
18678,10804,50527
16778,10903,50530
11148,10904,50531
15705,10804,50531
11869,10804,50532
13489,10904,50532
15117,10904,50532
11265,10803,50533
11029,10903,50535
15702,10902,50535
17269,10904,50536
18062,10801,50536
10431,10904,50537
10512,10904,50537
16894,10804,50537
12726,10804,50538
13498,10904,50538
11265,10802,50542
15705,10803,50542
11869,10803,50543
17069,10804,50543
13489,10903,50544
15117,10903,50544
13564,10804,50545
15028,10804,50548
16894,10803,50548
12726,10803,50549
17269,10903,50549
17513,10904,50549
10431,10903,50550
10281,10904,50551
13498,10903,50551
15147,10804,50552
15705,10802,50552
10204,10804,50553
11869,10802,50553
15598,10804,50555
19611,10904,50555
13564,10803,50557
12726,10802,50560
16215,10804,50561
14516,10804,50562
17513,10903,50562
15147,10904,50563
15362,10904,50563
15706,10904,50566
15598,10803,50567
13564,10802,50568
18239,10904,50568
19611,10903,50568
16215,10803,50573
14516,10803,50574
15362,10903,50577
17513,10902,50577
12886,10904,50578
17864,10804,50578
15706,10804,50579
17315,10804,50581
16215,10802,50583
14516,10802,50584
11050,10804,50589
17864,10904,50590
12886,10903,50591
15362,10902,50593
17315,10803,50593
12636,10804,50594
16935,10804,50595
13797,10904,50596
17079,10904,50598
18916,10804,50600
17315,10802,50603
17864,10903,50604
14092,10904,50606
13797,10903,50610
18038,10904,50611
17079,10903,50612
15749,10804,50614
17989,10904,50618
13669,10904,50620
