id,sid,time
15367,11302,25336
16111,11305,25410
10196,11305,25460
12856,11302,25684
11876,11302,25816
10164,11305,25889
17516,11305,26120
12573,11305,26139
18123,11305,26306
13339,11305,26337
19027,11305,26510
18059,11305,26550
16290,11303,26645
16290,11305,26659
10638,11305,26800
15801,11305,26830
12602,11302,26935
14863,11305,26986
19627,11302,27014
11532,11302,27035
11532,11305,27056
14819,11205,27113
14819,11204,27119
14819,11203,27125
16065,11305,27126
10164,11205,27130
14819,11202,27131
10164,11204,27137
11143,11305,27147
10196,11205,27149
14825,11205,27155
10196,11204,27156
11462,11304,27157
15801,11205,27160
18123,11302,27160
14678,11205,27162
14825,11204,27162
17054,11305,27163
10196,11203,27164
15801,11204,27168
10196,11202,27171
11876,11205,27172
15670,11205,27173
11876,11204,27179
13300,11205,27181
15670,11204,27181
11876,11203,27187
13300,11204,27189
15367,11205,27190
11876,11202,27194
18367,11205,27197
13300,11203,27198
15367,11204,27198
15152,11205,27199
13300,11202,27205
18367,11204,27205
15367,11203,27207
18367,11203,27214
18367,11202,27221
11251,11305,27236
12602,11205,27277
12602,11204,27285
12602,11203,27293
13322,11302,27335
13322,11305,27356
15408,11205,27359
15408,11204,27367
15408,11203,27375
11532,11205,27390
11532,11204,27398
11532,11203,27406
16065,11205,27418
16310,11305,27423
17054,11205,27463
11251,11205,27529
11251,11204,27538
11251,11203,27547
11251,11202,27556
13890,11305,27850
12805,11305,28360
12534,11303,28777
14649,11302,28784
14715,11304,28784
16453,11304,28784
11170,11302,28787
16737,11302,28787
14628,11304,28793
14868,11302,28795
18812,11304,28795
10077,11302,28797
11901,11302,28797
18616,11305,28797
13041,11302,28798
16802,11303,28801
11170,11304,28803
14593,11302,28803
13828,11305,28805
14090,11303,28805
15466,11304,28807
16433,11304,28807
18162,11302,28807
15820,11303,28809
18667,11303,28810
15701,11305,28812
17636,11304,28813
15533,11302,28814
11586,11305,28816
12842,11302,28816
16705,11302,28816
14533,11305,28817
11655,11303,28818
15329,11304,28818
15787,11305,28819
18751,11303,28820
15110,11305,28825
14179,11302,28826
15820,11305,28826
10167,11304,28827
11453,11302,28827
18465,11305,28828
13744,11304,28829
16734,11305,28831
11819,11303,28836
14629,11305,28836
16250,11304,28838
18401,11303,28839
13691,11303,28842
17561,11304,28844
11478,11302,28845
12615,11305,28845
15293,11302,28848
11453,11305,28853
16421,11302,28857
19255,11304,28857
19547,11304,28857
10882,11302,28858
15248,11303,28858
19326,11305,28861
10826,11302,28862
17227,11305,28863
18057,11304,28864
18601,11303,28865
15298,11305,28866
17435,11302,28866
19209,11303,28867
13951,11303,28876
15694,11303,28876
10884,11304,28881
19996,11305,28882
12102,11303,28884
12338,11303,28885
10295,11302,28886
10725,11303,28887
11498,11302,28887
17235,11304,28887
15214,11303,28888
13951,11305,28895
19779,11303,28896
15840,11305,28897
17119,11305,28897
18705,11304,28897
16747,11303,28898
18468,11305,28902
18793,11304,28902
12176,11303,28907
12463,11302,28907
15214,11305,28910
13667,11304,28911
12868,11302,28913
14370,11302,28914
17618,11305,28914
15712,11305,28916
13253,11304,28919
17902,11302,28919
13569,11304,28923
17623,11305,28923
12472,11303,28925
13207,11303,28925
10936,11304,28926
16394,11302,28926
15764,11303,28927
12188,11303,28928
13351,11302,28928
14792,11302,28928
17009,11302,28928
19684,11303,28929
11498,11305,28930
12075,11304,28931
16848,11304,28935
17961,11302,28936
13005,11305,28937
13335,11305,28937
14612,11302,28938
16132,11303,28938
16466,11303,28939
15235,11303,28940
10014,11303,28945
16193,11304,28945
14726,11302,28947
16543,11302,28947
16291,11304,28948
11818,11305,28949
12979,11305,28953
10943,11302,28955
19224,11304,28955
19992,11302,28957
15766,11302,28958
12403,11304,28965
12804,11305,28967
16872,11303,28967
15732,11304,28971
17961,11305,28971
10975,11305,28972
15605,11304,28974
18838,11302,28974
11783,11305,28976
10804,11302,28977
13457,11302,28977
18236,11303,28977
13505,11305,28978
12375,11305,28986
15058,11302,28986
18315,11302,28986
19645,11302,28986
11979,11303,28987
12480,11303,28987
14236,11303,28987
18556,11303,28988
16351,11303,28989
19635,11305,28989
11388,11305,28993
14766,11305,28993
15189,11302,28994
12766,11302,28997
14884,11304,29003
18265,11303,29005
14646,11303,29007
16100,11302,29007
11154,11305,29013
12842,11305,29013
13247,11303,29015
14515,11304,29015
14836,11305,29015
19363,11305,29016
19842,11302,29017
14577,11303,29018
16971,11302,29018
17873,11303,29019
10264,11303,29021
10804,11305,29023
17860,11305,29023
12156,11303,29026
15533,11304,29026
13021,11302,29028
17636,11305,29028
15874,11302,29029
17652,11305,29029
16711,11303,29030
18968,11302,29031
15295,11304,29033
16040,11305,29034
16069,11302,29037
17432,11304,29037
19141,11302,29037
15115,11305,29042
11232,11304,29045
18355,11304,29045
12429,11304,29047
11598,11303,29048
18486,11304,29048
10264,11305,29052
17556,11302,29055
14420,11304,29056
13850,11303,29057
15311,11305,29057
15518,11305,29057
13470,11303,29058
15882,11303,29058
17159,11305,29058
14916,11305,29060
17921,11304,29064
16705,11305,29065
13610,11302,29066
16276,11303,29066
