id,sid,time
11396,11502,25240
15367,11300,25320
16111,11502,25380
10196,11502,25430
15800,11504,25450
11462,11504,25530
13300,11502,25640
12856,11300,25670
11876,11300,25800
10164,11502,25860
18689,11502,25900
11778,11504,25910
14678,11502,25970
18367,11502,26060
17516,11502,26090
12573,11502,26110
14825,11502,26110
18123,11504,26290
13339,11502,26300
13982,11502,26400
19027,11502,26480
18059,11502,26520
14819,11504,26590
15670,11504,26610
15152,11502,26620
16290,11502,26630
10638,11502,26770
15801,11502,26800
19617,11502,26800
12602,11300,26920
10762,11502,26970
14863,11504,26970
15408,11502,26990
19627,11300,27000
11532,11300,27020
16065,11504,27110
17054,11300,27120
11026,11502,27130
11143,11504,27130
11165,11502,27210
11251,11504,27220
13322,11300,27320
16310,11504,27400
13460,11502,27740
13890,11502,27820
14461,11507,28000
12805,11502,28330
12534,11502,28760
14649,11504,28760
14715,11502,28760
16453,11502,28760
11170,11300,28770
14090,11300,28770
14628,11502,28770
14868,11504,28770
15701,11300,28770
16737,11300,28770
16802,11300,28770
18812,11502,28770
10077,11300,28780
11901,11502,28780
13041,11502,28780
14533,11502,28780
14593,11504,28780
17636,11300,28780
18616,11504,28780
13828,11504,28790
15110,11502,28790
15329,11502,28790
15466,11504,28790
15533,11504,28790
15820,11502,28790
16433,11504,28790
16734,11300,28790
18162,11300,28790
18242,11507,28790
18465,11502,28790
18667,11502,28790
10167,11502,28800
11586,11504,28800
11655,11504,28800
12842,11300,28800
13744,11502,28800
14179,11504,28800
14629,11502,28800
15787,11504,28800
15905,11507,28800
16705,11300,28800
18751,11504,28800
11453,11300,28810
12615,11502,28810
13691,11300,28810
14257,11507,28810
11819,11504,28820
13147,11507,28820
14403,11507,28820
16250,11504,28820
17227,11300,28820
17561,11502,28820
18401,11504,28820
19326,11300,28820
11478,11300,28830
15293,11502,28830
15298,11502,28830
18057,11300,28830
19255,11502,28830
10826,11504,28840
10882,11502,28840
15248,11502,28840
16421,11300,28840
17435,11504,28840
19209,11300,28840
19547,11504,28840
10884,11300,28850
18601,11502,28850
19996,11502,28850
12102,11300,28860
12338,11300,28860
13951,11502,28860
14100,11507,28860
15241,11507,28860
15694,11504,28860
10295,11502,28870
10725,11504,28870
11498,11300,28870
15214,11502,28870
17235,11504,28870
17454,11507,28870
18468,11502,28870
18793,11300,28870
19779,11300,28870
13569,11300,28880
13667,11300,28880
15840,11504,28880
16747,11502,28880
17119,11504,28880
17618,11502,28880
18705,11504,28880
10502,11507,28890
12176,11502,28890
12463,11502,28890
12868,11504,28890
13253,11502,28890
14370,11504,28890
17623,11502,28890
12075,11300,28900
12472,11300,28900
13207,11300,28900
15437,11507,28900
15712,11504,28900
16394,11504,28900
17378,11507,28900
17902,11300,28900
10936,11504,28910
12188,11502,28910
13351,11300,28910
14792,11502,28910
15764,11504,28910
16193,11300,28910
16466,11300,28910
16848,11502,28910
17009,11300,28910
19684,11502,28910
12979,11502,28920
13005,11504,28920
13284,11507,28920
13335,11504,28920
14612,11502,28920
15235,11502,28920
16132,11502,28920
16291,11502,28920
16543,11504,28920
