id,sid,time
11778,10111,27218
11778,10110,27225
12063,10111,30730
16303,10111,32449
11160,10111,32467
11160,10110,32474
18250,10111,32510
13290,10111,32533
16837,10111,32537
10245,10111,32553
16817,10111,32589
16817,10110,32596
19299,10111,32598
19299,10110,32605
11160,10110,32668
11160,10111,32684
15279,10111,32854
13344,10111,33577
13344,10110,33584
13344,10110,33883
13344,10111,33899
13284,10111,34627
10245,10111,34799
10245,10110,34806
17494,10111,34956
10019,10111,34963
17494,10110,34963
12293,10111,34969
10019,10110,34970
13290,10111,34971
12293,10110,34976
13290,10110,34978
17460,10111,35067
17460,10110,35074
14363,10111,35111
12977,10111,35114
13003,10111,35117
12977,10110,35121
16652,10111,35122
13147,10111,35133
17494,10110,35133
13147,10110,35140
16740,10111,35141
10245,10110,35145
16740,10110,35148
17494,10111,35149
10245,10111,35161
12293,10110,35161
11303,10111,35163
18790,10111,35165
11303,10110,35170
18790,10110,35173
12293,10111,35177
13290,10110,35180
17024,10111,35185
10019,10110,35187
13290,10111,35196
10019,10111,35203
15893,10111,35212
15893,10110,35219
18119,10111,35226
10996,10111,35229
18119,10110,35233
16740,10110,35306
16740,10111,35322
13147,10110,35344
12977,10110,35351
18790,10110,35357
13147,10111,35360
12977,10111,35367
18790,10111,35373
15893,10110,35387
15893,10111,35403
17460,10110,35406
17460,10111,35422
18119,10110,35512
18119,10111,35528
11303,10110,35537
11303,10111,35553
15282,10111,37667
15282,10110,37674
11241,10111,37679
10594,10111,37689
10594,10110,37696
19215,10111,37751
19215,10110,37758
11021,10111,37784
11021,10110,37791
19700,10111,37822
19700,10110,37828
17811,10111,37829
17811,10110,37835
10594,10110,37871
15282,10110,37876
10594,10111,37887
15282,10111,37892
15499,10111,37907
19215,10110,37922
18411,10111,37938
19215,10111,37938
18411,10110,37945
19644,10111,37967
19644,10110,37974
19700,10110,37991
19092,10111,37994
19092,10110,38001
16740,10111,38005
17463,10111,38005
19700,10111,38007
16740,10110,38012
17378,10111,38012
17463,10110,38012
16977,10111,38020
17378,10110,38020
16977,10110,38027
17811,10110,38027
10181,10111,38042
17811,10111,38043
10181,10110,38049
11021,10110,38050
12906,10111,38050
16410,10111,38057
16410,10110,38064
11021,10111,38066
10111,10111,38074
13205,10111,38077
10111,10110,38081
13854,10111,38081
15096,10111,38081
18844,10111,38086
15096,10110,38088
18844,10110,38094
17454,10111,38112
17822,10111,38112
12693,10111,38118
17454,10110,38119
17822,10110,38119
12693,10110,38125
14033,10111,38166
14033,10110,38173
12854,10111,38176
12854,10110,38183
10181,10110,38185
17463,10110,38193
10181,10111,38201
17463,10111,38209
18411,10110,38219
17378,10110,38234
18411,10111,38235
19644,10110,38246
17378,10111,38250
19644,10111,38262
10111,10110,38278
17822,10110,38286
10111,10111,38294
12693,10110,38294
17822,10111,38302
12693,10111,38310
16740,10110,38361
16740,10111,38377
19092,10110,38405
15096,10110,38417
19092,10111,38421
16977,10110,38423
15096,10111,38433
14033,10110,38439
16977,10111,38439
14033,10111,38455
16410,10110,38517
16410,10111,38533
12854,10110,38593
17454,10110,38607
12854,10111,38609
17454,10111,38623
18844,10110,38700
18844,10111,38716
16337,10111,38776
16337,10110,38783
18104,10111,38784
18104,10110,38791
14123,10111,38810
14123,10110,38816
17053,10111,38849
17053,10110,38856
10572,10111,38857
10572,10110,38864
19205,10111,38985
19205,10110,38992
19092,10111,39025
17454,10111,39030
15437,10111,39055
16700,10111,39071
15601,10111,39072
16337,10110,39077
11160,10111,39085
16337,10111,39093
11169,10111,39095
17053,10110,39102
17053,10111,39118
17212,10111,39135
17800,10111,39139
12977,10111,39144
16316,10111,39156
19690,10111,39158
14123,10110,39159
18104,10110,39167
14123,10111,39175
10572,10110,39182
18104,10111,39183
14461,10111,39184
19205,10110,39185
10572,10111,39198
19205,10111,39201
14435,10111,39245
11869,10111,39321
19110,10111,39379
15000,10111,39411
14518,10111,39577
12449,10111,39756
11778,10111,41979
12177,10111,42873
17494,10111,42910
12293,10111,43090
12293,10110,43097
19137,10111,43256
19137,10110,43263
10463,10111,43290
10463,10110,43297
18223,10111,43305
18223,10110,43312
16316,10111,43332
16316,10110,43339
15978,10111,43340
15978,10110,43347
14033,10111,43352
18807,10111,43355
14033,10110,43359
18807,10110,43362
11279,10111,43377
11279,10110,43384
11021,10111,43471
13284,10111,43474
11021,10110,43478
19491,10111,43478
13284,10110,43481
19491,10110,43485
13147,10111,43527
13147,10110,43534
15279,10111,43536
15279,10110,43543
17401,10111,43545
10282,10111,43546
17401,10110,43552
10282,10110,43553
10594,10111,43556
10594,10110,43563
16505,10111,43576
16505,10110,43583
10427,10111,43584
13313,10111,43584
10427,10110,43591
13313,10110,43591
13583,10111,43591
13583,10110,43598
12574,10111,43637
12574,10110,43644
16212,10111,43716
16212,10110,43723
18869,10111,43727
18869,10110,43734
10019,10111,43739
10019,10110,43745
15000,10111,43756
15000,10110,43763
15282,10111,43766
15282,10110,43773
11458,10111,43796
19700,10111,43802
11458,10110,43803
19700,10110,43809
11396,10111,43848
17212,10111,43855
17212,10110,43862
14045,10111,43896
12293,10110,43900
14045,10110,43903
12293,10111,43916
19215,10111,43937
19215,10110,43944
12312,10111,43951
16467,10111,43957
12312,10110,43958
16467,10110,43964
13209,10111,43967
13209,10110,43974
19644,10111,43980
19644,10110,43987
16652,10111,44050
16652,10110,44057
11241,10111,44062
11241,10110,44069
12019,10111,44080
10426,10111,44084
16908,10111,44086
12019,10110,44087
10426,10110,44091
11662,10111,44091
16908,10110,44093
11662,10110,44098
10245,10111,44121
16632,10111,44124
10245,10110,44128
16632,10110,44131
18508,10111,44144
18508,10110,44151
14874,10111,44152
14874,10110,44159
15205,10111,44159
15205,10110,44166
14033,10110,44178
17811,10111,44185
17811,10110,44191
14033,10111,44194
15279,10110,44195
17378,10111,44197
12312,10110,44201
17378,10110,44204
16467,10110,44208
15279,10111,44211
15000,10110,44216
12312,10111,44217
16467,10111,44224
12260,10111,44226
15000,10111,44232
12260,10110,44233
12301,10111,44234
16316,10110,44236
12301,10110,44242
18580,10111,44242
14403,10111,44249
18580,10110,44249
11279,10110,44251
16316,10111,44252
10572,10111,44255
14257,10111,44255
14403,10110,44256
14470,10111,44259
10572,10110,44263
14257,10110,44263
10427,10110,44264
11279,10111,44267
14470,10110,44267
19215,10110,44267
13348,10111,44268
18411,10111,44271
11874,10111,44274
13348,10110,44276
12850,10111,44279
18411,10110,44279
10427,10111,44280
11874,10110,44282
19215,10111,44283
10781,10111,44284
14942,10111,44286
12850,10110,44287
10781,10110,44293
17024,10111,44293
15282,10110,44294
14942,10110,44295
17024,10110,44301
10282,10110,44302
10996,10111,44304
15282,10111,44310
10996,10110,44311
13049,10111,44312
10282,10111,44318
10897,10111,44319
13049,10110,44320
10633,10111,44323
11874,10110,44324
10897,10110,44327
10633,10110,44330
18686,10111,44330
15690,10111,44335
18686,10110,44337
11874,10111,44340
15690,10110,44342
12311,10111,44348
12311,10110,44355
16464,10111,44355
18119,10111,44357
16464,10110,44362
16908,10110,44362
11962,10111,44363
18119,10110,44364
11260,10111,44368
11962,10110,44370
18223,10110,44372
11260,10110,44376
16337,10111,44376
15601,10111,44377
16652,10110,44378
16908,10111,44378
16337,10110,44383
15601,10110,44384
13023,10111,44385
18223,10111,44388
15437,10111,44389
