id,sid,time
11396,11411,25312
11396,11410,25319
15367,11411,25399
15367,11410,25406
16111,11411,25452
16111,11410,25459
10196,11411,25502
15800,11411,25507
10196,11410,25509
15800,11410,25514
11462,11411,25588
11462,11410,25595
13300,11411,25719
13300,11410,25726
12856,11411,25738
12856,11410,25744
11876,11411,25886
11876,11410,25893
10164,11411,25931
10164,11410,25938
11778,11411,25968
18689,11411,25971
11778,11410,25975
18689,11410,25978
14678,11411,26042
14678,11410,26049
18367,11411,26131
18367,11410,26138
17516,11411,26162
17516,11410,26169
14825,11411,26182
12573,11411,26188
14825,11410,26189
12573,11410,26195
18123,11411,26348
18123,11410,26355
13339,11411,26379
13339,11410,26386
13982,11411,26479
13982,11410,26486
19027,11411,26552
19027,11410,26559
18059,11411,26592
18059,11410,26599
14819,11411,26640
14819,11410,26646
15670,11411,26668
15670,11410,26675
15152,11411,26691
15152,11410,26698
16290,11411,26701
16290,11410,26708
10638,11411,26849
10638,11410,26856
15801,11411,26872
19617,11411,26872
15801,11410,26879
19617,11410,26879
12602,11411,26998
12602,11410,27005
14863,11411,27028
14863,11410,27035
12573,11410,27039
10762,11411,27041
10762,11410,27048
18059,11410,27053
12573,11411,27055
14819,11410,27059
15408,11411,27061
15408,11410,27068
18059,11411,27069
10164,11410,27072
19627,11411,27074
14819,11411,27075
16290,11410,27079
18123,11410,27079
19627,11410,27081
10196,11410,27082
17516,11410,27087
10164,11411,27088
15801,11410,27089
11462,11410,27090
14678,11410,27091
14825,11410,27095
16290,11411,27095
18123,11411,27095
10196,11411,27098
11532,11411,27098
13982,11410,27098
19027,11410,27098
11778,11410,27103
10638,11410,27105
15801,11411,27105
11462,11411,27106
11532,11410,27106
14678,11411,27107
14825,11411,27111
15670,11410,27111
11876,11410,27113
13982,11411,27114
19027,11411,27114
11778,11411,27119
13339,11410,27119
10638,11411,27121
13300,11410,27122
15367,11410,27123
15670,11411,27127
16111,11410,27128
18689,11410,27128
11876,11411,27129
11396,11410,27134
15800,11410,27134
13339,11411,27135
13300,11411,27138
18367,11410,27138
15367,11411,27139
15152,11410,27140
12856,11410,27143
16111,11411,27144
18689,11411,27144
11396,11411,27150
15800,11411,27150
18367,11411,27154
15152,11411,27156
12856,11411,27159
16065,11411,27171
16065,11410,27178
11143,11411,27192
11143,11410,27199
11026,11411,27202
11026,11410,27209
17054,11411,27212
12602,11410,27219
17054,11410,27219
12602,11411,27235
10762,11410,27241
10762,11411,27257
11251,11411,27285
11165,11411,27286
11251,11410,27292
11165,11410,27294
15408,11410,27301
19627,11410,27307
15408,11411,27317
19627,11411,27323
11532,11410,27332
11532,11411,27348
16065,11410,27353
16065,11411,27369
11143,11410,27382
17054,11410,27391
11143,11411,27398
13322,11411,27398
13322,11410,27405
17054,11411,27407
16310,11411,27465
11165,11410,27471
11251,11410,27471
16310,11410,27472
11165,11411,27487
11251,11411,27487
13322,11410,27628
13322,11411,27644
13460,11411,27813
13460,11410,27820
13890,11411,27899
13890,11410,27906
16310,11410,28271
13460,11410,28275
11026,11410,28281
16310,11411,28287
13460,11411,28291
11026,11411,28297
13890,11410,28298
13890,11411,28314
14863,11410,28328
19617,11410,28331
14863,11411,28344
19617,11411,28347
12805,11411,28409
12805,11410,28416
11476,11411,29045
11476,11410,29052
18667,11411,29118
18667,11410,29125
18162,11411,29126
18162,11410,29133
10167,11411,29134
10167,11410,29141
13569,11411,29162
11498,11411,29165
13569,11410,29169
11498,11410,29172
16433,11411,29203
16433,11410,29209
12188,11411,29223
13667,11411,29223
11170,11411,29228
12188,11410,29230
13667,11410,29230
18616,11411,29259
11586,11411,29268
15701,11411,29269
11586,11410,29275
12611,11411,29275
15701,11410,29276
12611,11410,29282
11655,11411,29290
12375,11411,29295
11655,11410,29297
12375,11410,29302
12241,11411,29303
12241,11410,29310
18486,11411,29324
18601,11411,29329
18601,11410,29336
16132,11411,29342
16132,11410,29349
15235,11411,29360
11783,11411,29363
16543,11411,29378
12472,11411,29383
16543,11410,29385
12472,11410,29390
16466,11411,29398
18574,11411,29403
16466,11410,29405
19547,11411,29408
18574,11410,29411
19547,11410,29415
12534,11411,29417
10725,11411,29418
19992,11411,29419
15189,11411,29423
12534,11410,29424
12868,11411,29424
19992,11410,29427
17576,11411,29429
12868,11410,29432
17576,11410,29437
15518,11411,29439
17556,11411,29439
10943,11411,29445
15518,11410,29446
12429,11411,29448
10943,11410,29453
12429,11410,29455
17873,11411,29484
17873,11410,29491
13569,11410,29505
12188,11410,29513
14165,11411,29513
14165,11410,29520
13569,11411,29521
13869,11411,29524
12188,11411,29529
19231,11411,29541
18140,11411,29544
19231,11410,29547
16433,11410,29552
16433,11411,29568
15222,11411,29569
16965,11411,29570
11672,11411,29574
15222,11410,29577
16965,11410,29578
11655,11410,29580
14721,11411,29580
11672,11410,29582
14878,11411,29585
14721,11410,29588
12735,11411,29591
14878,11410,29592
11655,11411,29596
16832,11411,29597
12735,11410,29598
13820,11411,29598
16832,11410,29605
13820,11410,29606
12375,11410,29609
13498,11411,29618
13498,11410,29624
12375,11411,29625
11586,11410,29626
17773,11411,29636
11586,11411,29642
17773,11410,29643
11991,11411,29645
14646,11411,29650
11991,11410,29652
15561,11411,29672
15561,11410,29679
19427,11411,29679
19427,11410,29686
15504,11411,29687
18491,11411,29702
16913,11411,29703
14445,11411,29709
18651,11411,29709
16913,11410,29711
19860,11411,29715
18651,11410,29716
19036,11411,29716
14445,11410,29717
18447,11411,29718
19036,11410,29723
19860,11410,29723
18447,11410,29726
19916,11411,29727
13921,11411,29728
15518,11410,29730
13921,11410,29735
19916,11410,29735
15479,11411,29738
10982,11411,29742
18519,11411,29743
15479,11410,29745
15518,11411,29746
10982,11410,29750
17704,11411,29750
18519,11410,29750
17704,11410,29758
10143,11411,29770
10143,11410,29777
11203,11411,29777
11203,11410,29784
12474,11411,29784
19290,11411,29795
18388,11411,29800
18388,11410,29807
14165,11410,29808
12429,11410,29815
19192,11411,29816
16148,11411,29821
19231,11410,29822
19192,11410,29823
14165,11411,29824
16148,11410,29829
12429,11411,29831
16633,11411,29831
11930,11411,29834
19387,11411,29834
13687,11411,29837
19231,11411,29838
16633,11410,29839
11930,11410,29842
13783,11411,29842
19387,11410,29842
13687,11410,29845
13783,11410,29850
19903,11411,29852
13159,11411,29859
16672,11411,29860
16851,11411,29862
18280,11411,29865
13159,11410,29866
16672,11410,29867
12593,11411,29870
16851,11410,29870
18280,11410,29873
10500,11411,29876
12593,11410,29878
15671,11411,29878
12582,11411,29879
14041,11411,29880
17242,11411,29884
15671,11410,29885
12582,11410,29887
14041,11410,29888
17242,11410,29892
15542,11411,29900
19209,11411,29901
15542,11410,29907
19209,11410,29909
15949,11411,29922
15536,11411,29925
15949,11410,29929
15536,11410,29932
18447,11410,29953
16347,11411,29964
16913,11410,29965
14959,11411,29969
18447,11411,29969
19157,11411,29970
16347,11410,29971
19916,11410,29971
10172,11411,29977
19157,11410,29978
16913,11411,29981
10172,11410,29984
14930,11411,29985
19916,11411,29987
16615,11411,29990
11846,11411,29991
14930,11410,29992
16615,11410,29998
10955,11411,29999
11846,11410,29999
19284,11411,30002
10955,11410,30006
19284,11410,30010
15028,11411,30012
10791,11411,30013
15028,11410,30019
15753,11411,30022
15753,11410,30029
17281,11411,30033
18613,11411,30038
17281,11410,30040
15222,11410,30042
18613,11410,30045
12679,11411,30050
10415,11411,30051
15561,11410,30054
15222,11411,30058
12196,11411,30061
16965,11410,30067
12196,11410,30069
15561,11411,30070
16965,11411,30083
17559,11411,30087
17773,11410,30087
10941,11411,30092
17559,11410,30094
10941,11410,30099
12805,11410,30103
17773,11411,30103
17576,11410,30107
17704,11410,30111
12745,11411,30114
11476,11410,30115
11991,11410,30117
12805,11411,30119
13901,11411,30120
12745,11410,30121
17576,11411,30123
17704,11411,30127
13901,11410,30128
17105,11411,30128
19192,11410,30129
11476,11411,30131
13159,11410,30131
11991,11411,30133
17105,11410,30136
17037,11411,30141
14445,11410,30144
18388,11410,30145
19192,11411,30145
13159,11411,30147
13208,11411,30148
17037,11410,30148
13208,11410,30156
14445,11411,30160
18388,11411,30161
13485,11411,30162
19387,11410,30164
13485,11410,30170
19387,11411,30180
18280,11410,30190
19574,11411,30191
19574,11410,30198
12169,11411,30199
16615,11410,30200
17242,11410,30204
12169,11410,30205
18280,11411,30206
10985,11411,30207
15671,11410,30208
16587,11411,30208
11493,11411,30210
10985,11410,30215
16615,11411,30216
13663,11411,30217
14926,11411,30219
17242,11411,30220
15671,11411,30224
13663,11410,30225
11619,11411,30228
19157,11410,30230
19479,11411,30230
13315,11411,30235
11619,11410,30236
10334,11411,30238
19479,11410,30238
13315,11410,30242
14741,11411,30244
10334,11410,30246
19157,11411,30246
14741,11410,30252
14930,11410,30252
13589,11411,30253
14368,11411,30258
11553,11411,30260
13589,11410,30261
14368,11410,30265
10172,11410,30266
11553,11410,30267
14930,11411,30268
14084,11411,30272
13783,11410,30276
11213,11411,30278
14084,11410,30280
10172,11411,30282
11792,11411,30282
11213,11410,30285
11792,11410,30289
13783,11411,30292
14573,11411,30295
14573,11410,30303
10015,11411,30308
10015,11410,30314
17573,11411,30323
17573,11410,30330
19612,11411,30338
19612,11410,30345
14514,11411,30352
12196,11410,30354
17355,11411,30359
18352,11411,30364
17355,11410,30366
17415,11411,30367
12196,11411,30370
16533,11411,30371
18352,11410,30372
12745,11410,30373
16533,11410,30379
10941,11410,30380
18695,11411,30386
12745,11411,30389
18762,11411,30390
18695,11410,30393
11737,11411,30395
10941,11411,30396
18762,11410,30398
11950,11411,30402
11950,11410,30410
16208,11411,30411
19479,11410,30412
16425,11411,30413
15028,11410,30415
16208,11410,30418
12169,11410,30420
16425,11410,30420
14144,11411,30428
19479,11411,30428
15028,11411,30431
14144,11410,30435
12169,11411,30436
14228,11411,30439
10985,11410,30447
14228,11410,30447
12517,11411,30452
17105,11410,30454
12517,11410,30459
10985,11411,30463
16773,11411,30463
17281,11410,30465
13573,11411,30466
17105,11411,30470
16773,11410,30471
10319,11411,30481
17281,11411,30481
13901,11410,30485
10319,11410,30488
19802,11411,30494
11792,11410,30497
19269,11411,30499
13901,11411,30501
19802,11410,30502
15485,11411,30503
19269,11410,30506
15485,11410,30511
11792,11411,30513
16241,11411,30525
18738,11411,30528
18506,11411,30531
16241,11410,30532
18738,11410,30535
18506,11410,30539
18839,11411,30539
17154,11411,30546
18839,11410,30546
17154,11410,30553
15793,11411,30562
16427,11411,30569
16427,11410,30576
14573,11410,30586
16148,11410,30586
12779,11411,30589
14641,11411,30590
11486,11411,30593
13687,11410,30593
14368,11410,30594
19992,11410,30594
10631,11411,30596
12779,11410,30596
13498,11410,30599
11486,11410,30600
16533,11410,30601
14573,11411,30602
16148,11411,30602
18625,11411,30602
17573,11410,30603
10631,11410,30604
11950,11410,30608
18651,11410,30608
13687,11411,30609
14368,11411,30610
18625,11410,30610
19992,11411,30610
15701,11410,30613
16132,11410,30613
13498,11411,30615
14721,11410,30617
16533,11411,30617
17573,11411,30619
10955,11410,30621
15485,11410,30621
17037,11410,30621
11672,11410,30623
11950,11411,30624
18651,11411,30624
19036,11410,30625
19427,11410,30625
18690,11411,30626
19209,11410,30627
19269,11410,30627
15701,11411,30629
16132,11411,30629
18352,11410,30630
14741,11410,30632
14721,11411,30633
11203,11410,30634
18690,11410,30634
13589,11410,30635
10955,11411,30637
15485,11411,30637
17037,11411,30637
11553,11410,30638
11672,11411,30639
19036,11411,30641
19284,11410,30641
19427,11411,30641
19209,11411,30643
19269,11411,30643
18352,11411,30646
18519,11410,30646
12472,11410,30648
14741,11411,30648
10334,11410,30650
11203,11411,30650
16672,11410,30650
13589,11411,30651
10982,11410,30652
11553,11411,30654
12868,11410,30655
16466,11410,30656
19284,11411,30657
13667,11410,30658
18695,11410,30659
16633,11410,30660
18519,11411,30662
10167,11410,30663
17952,11411,30663
12472,11411,30664
13315,11410,30664
18762,11410,30664
10334,11411,30666
16672,11411,30666
18613,11410,30667
10982,11411,30668
10143,11410,30669
10943,11410,30670
16851,11410,30670
11498,11410,30671
12868,11411,30671
16466,11411,30672
16832,11410,30672
14041,11410,30673
10015,11410,30674
13667,11411,30674
18695,11411,30675
15542,11410,30676
16633,11411,30676
12517,11410,30678
12593,11410,30678
15536,11410,30678
10167,11411,30679
13315,11411,30680
15753,11410,30680
18762,11411,30680
10319,11410,30682
16241,11410,30682
15949,11410,30683
18601,11410,30683
18613,11411,30683
10143,11411,30685
10943,11411,30686
12582,11410,30686
16851,11411,30686
11498,11411,30687
16425,11410,30687
16832,11411,30688
17559,11410,30688
14041,11411,30689
10015,11411,30690
15479,11410,30690
12241,11410,30692
14878,11410,30692
15542,11411,30692
18162,11410,30693
12517,11411,30694
12593,11411,30694
15536,11411,30694
15753,11411,30696
16543,11410,30696
19612,11410,30696
10319,11411,30698
16241,11411,30698
15949,11411,30699
17873,11410,30699
18601,11411,30699
18667,11410,30700
13485,11410,30701
12582,11411,30702
13663,11410,30703
16425,11411,30703
17559,11411,30704
15479,11411,30706
14228,11410,30707
12241,11411,30708
14878,11411,30708
18162,11411,30709
18839,11410,30709
12611,11410,30712
16543,11411,30712
19612,11411,30712
17873,11411,30715
18667,11411,30716
13485,11411,30717
13663,11411,30719
14228,11411,30723
18574,11410,30723
18839,11411,30725
12611,11411,30728
18574,11411,30739
11213,11410,30742
11213,11411,30758
19574,11410,30768
15061,11411,30773
10329,11411,30779
16773,11410,30779
18738,11410,30781
19574,11411,30784
16208,11410,30789
16773,11411,30795
18738,11411,30797
14589,11411,30800
16208,11411,30805
18690,11410,30806
18506,11410,30816
18690,11411,30822
17355,11410,30824
13359,11411,30825
14427,11411,30832
18506,11411,30832
17355,11411,30840
19802,11410,30856
16427,11410,30869
19802,11411,30872
12779,11410,30875
15196,11411,30883
16427,11411,30885
18625,11410,30888
12779,11411,30891
18625,11411,30904
10272,11411,30908
15765,11411,30947
10540,11411,30951
17286,11411,30954
17286,11410,30961
17145,11411,30989
17923,11411,30990
16758,11411,31003
17818,11411,31031
18255,11411,31032
16571,11411,31038
14672,11411,31060
12470,11411,31093
14116,11411,31093
17154,11410,31096
14166,11411,31102
12534,11410,31112
17154,11411,31112
18912,11411,31116
10529,11411,31125
12534,11411,31128
10628,11411,31134
18780,11411,31142
14716,11411,31144
15165,11411,31144
18096,11411,31148
18780,11410,31149
19652,11411,31150
14716,11410,31151
15165,11410,31152
10201,11411,31154
16045,11411,31170
16045,11410,31177
17286,11410,31185
13820,11410,31188
18264,11411,31189
18264,11410,31196
16815,11411,31197
17286,11411,31201
13820,11411,31204
16815,11410,31204
19608,11411,31219
10935,11411,31220
10935,11410,31227
18907,11411,31254
18907,11410,31261
18592,11411,31273
16777,11411,31276
17096,11411,31284
17096,11410,31291
16317,11411,31292
17233,11411,31326
12122,11411,31330
19295,11411,31344
15778,11411,31362
18482,11411,31368
12975,11411,31396
12975,11410,31404
11096,11411,31420
11096,11410,31428
17598,11411,31428
17598,11410,31435
14716,11410,31485
10758,11411,31492
14716,11411,31501
14219,11411,31502
14219,11410,31509
11182,11411,31514
11182,11410,31522
11535,11411,31541
13243,11411,31545
18780,11410,31545
11535,11410,31548
13243,11410,31552
15979,11411,31554
15979,11410,31561
18780,11411,31561
15165,11410,31567
16347,11410,31567
15165,11411,31583
16347,11411,31583
19445,11411,31590
15506,11411,31597
19445,11410,31598
15506,11410,31605
14894,11411,31611
