id,sid,time
11160,20111,32483
11160,20110,32499
16817,20111,32605
19299,20111,32614
16817,20110,32621
19299,20110,32630
11160,20110,32652
11160,20111,32659
13344,20111,33593
13344,20110,33609
13344,20110,33867
13344,20111,33874
10245,20111,34815
10245,20110,34831
17494,20111,34972
10019,20111,34979
12293,20111,34985
13290,20111,34987
17494,20110,34988
10019,20110,34995
12293,20110,35001
13290,20110,35003
17460,20111,35083
17460,20110,35099
17494,20110,35117
17494,20111,35124
10245,20110,35129
12977,20111,35130
10245,20111,35136
12293,20110,35145
12977,20110,35146
13147,20111,35149
12293,20111,35152
16740,20111,35157
13290,20110,35164
13147,20110,35165
10019,20110,35171
13290,20111,35171
16740,20110,35173
10019,20111,35178
11303,20111,35179
18790,20111,35182
11303,20110,35195
18790,20110,35198
15893,20111,35228
18119,20111,35242
15893,20110,35244
18119,20110,35258
16740,20110,35290
16740,20111,35297
13147,20110,35328
12977,20110,35335
13147,20111,35335
18790,20110,35341
12977,20111,35342
18790,20111,35348
15893,20110,35371
15893,20111,35378
17460,20110,35390
17460,20111,35397
18119,20110,35496
18119,20111,35503
11303,20110,35521
11303,20111,35528
15282,20111,37683
15282,20110,37699
10594,20111,37705
10594,20110,37721
19215,20111,37767
19215,20110,37783
11021,20111,37800
11021,20110,37816
19700,20111,37837
17811,20111,37844
19700,20110,37853
10594,20110,37855
15282,20110,37859
17811,20110,37860
10594,20111,37862
15282,20111,37867
19215,20110,37906
19215,20111,37913
18411,20111,37954
18411,20110,37970
19700,20110,37975
19700,20111,37982
19644,20111,37983
19644,20110,37999
19092,20111,38010
17811,20110,38012
17811,20111,38018
16740,20111,38021
17463,20111,38021
19092,20110,38026
17378,20111,38029
11021,20110,38034
16977,20111,38036
16740,20110,38037
17463,20110,38037
11021,20111,38041
17378,20110,38045
16977,20110,38052
10181,20111,38058
16410,20111,38073
10181,20110,38074
16410,20110,38089
10111,20111,38090
15096,20111,38097
18844,20111,38103
10111,20110,38106
15096,20110,38113
18844,20110,38119
17454,20111,38128
17822,20111,38128
12693,20111,38134
17454,20110,38144
17822,20110,38144
12693,20110,38150
10181,20110,38169
10181,20111,38176
17463,20110,38177
14033,20111,38182
17463,20111,38184
12854,20111,38192
14033,20110,38198
18411,20110,38202
12854,20110,38208
18411,20111,38210
17378,20110,38218
17378,20111,38225
19644,20110,38230
19644,20111,38237
10111,20110,38262
10111,20111,38269
17822,20110,38270
17822,20111,38277
12693,20110,38279
12693,20111,38285
16740,20110,38345
16740,20111,38352
19092,20110,38389
19092,20111,38396
15096,20110,38401
15096,20111,38408
16977,20110,38408
16977,20111,38414
14033,20110,38423
14033,20111,38430
16410,20110,38501
16410,20111,38508
12854,20110,38577
12854,20111,38584
17454,20110,38591
17454,20111,38598
18844,20110,38683
18844,20111,38691
16337,20111,38792
18104,20111,38800
16337,20110,38808
18104,20110,38816
14123,20111,38825
14123,20110,38841
17053,20111,38865
10572,20111,38873
17053,20110,38881
10572,20110,38889
19205,20111,39001
19205,20110,39017
16337,20110,39061
16337,20111,39068
17053,20110,39086
17053,20111,39093
14123,20110,39144
14123,20111,39150
18104,20110,39151
18104,20111,39158
10572,20110,39166
19205,20110,39169
10572,20111,39173
19205,20111,39176
12293,20111,43106
12293,20110,43122
19137,20111,43272
19137,20110,43288
10463,20111,43306
18223,20111,43321
10463,20110,43322
18223,20110,43337
16316,20111,43348
15978,20111,43356
16316,20110,43364
14033,20111,43368
18807,20111,43371
15978,20110,43372
14033,20110,43384
18807,20110,43387
11279,20111,43393
11279,20110,43409
