id,sid,time
11396,21411,25328
11396,21410,25344
15367,21411,25415
15367,21410,25431
16111,21411,25468
16111,21410,25484
10196,21411,25518
15800,21411,25523
10196,21410,25534
15800,21410,25539
11462,21411,25604
11462,21410,25620
13300,21411,25735
13300,21410,25751
12856,21411,25753
12856,21410,25769
11876,21411,25902
11876,21410,25918
10164,21411,25947
10164,21410,25963
11778,21411,25984
18689,21411,25987
11778,21410,26000
18689,21410,26003
14678,21411,26058
14678,21410,26074
18367,21411,26147
18367,21410,26163
17516,21411,26178
17516,21410,26194
14825,21411,26198
12573,21411,26204
14825,21410,26214
12573,21410,26220
18123,21411,26364
18123,21410,26380
13339,21411,26395
13339,21410,26411
13982,21411,26495
13982,21410,26511
19027,21411,26568
19027,21410,26584
18059,21411,26608
18059,21410,26624
14819,21411,26655
14819,21410,26671
15670,21411,26684
15670,21410,26700
15152,21411,26707
16290,21411,26717
15152,21410,26723
16290,21410,26733
10638,21411,26865
10638,21410,26881
15801,21411,26888
19617,21411,26888
15801,21410,26904
19617,21410,26904
12602,21411,27014
12573,21410,27023
12573,21411,27030
12602,21410,27030
18059,21410,27037
14819,21410,27043
14863,21411,27044
18059,21411,27044
14819,21411,27050
10164,21410,27056
10762,21411,27057
14863,21410,27060
18123,21410,27062
10164,21411,27063
16290,21410,27063
10196,21410,27064
16290,21411,27070
17516,21410,27070
18123,21411,27070
15801,21410,27072
10196,21411,27073
10762,21410,27073
11462,21410,27073
14678,21410,27073
14825,21410,27077
15408,21411,27077
17516,21411,27078
15801,21411,27080
11462,21411,27081
13982,21410,27081
19027,21410,27081
14678,21411,27082
11778,21410,27086
14825,21411,27086
10638,21410,27088
13982,21411,27089
19027,21411,27089
19627,21411,27090
15408,21410,27093
15670,21410,27093
11778,21411,27094
10638,21411,27096
11876,21410,27096
13339,21410,27102
15670,21411,27102
11876,21411,27104
13300,21410,27105
15367,21410,27106
19627,21410,27106
13339,21411,27110
16111,21410,27110
18689,21410,27111
13300,21411,27113
15367,21411,27114
11532,21411,27115
11396,21410,27117
15800,21410,27117
16111,21411,27119
18689,21411,27119
18367,21410,27121
15152,21410,27123
11396,21411,27125
15800,21411,27125
12856,21410,27127
18367,21411,27129
11532,21410,27131
15152,21411,27131
12856,21411,27134
16065,21411,27187
12602,21410,27203
16065,21410,27203
11143,21411,27208
12602,21411,27210
11026,21411,27218
11143,21410,27224
10762,21410,27225
17054,21411,27228
10762,21411,27232
11026,21410,27234
17054,21410,27244
15408,21410,27285
19627,21410,27291
15408,21411,27292
19627,21411,27298
11251,21411,27301
11165,21411,27303
11532,21410,27316
11251,21410,27317
11165,21410,27319
11532,21411,27323
16065,21410,27337
16065,21411,27344
11143,21410,27366
11143,21411,27373
17054,21410,27375
17054,21411,27382
13322,21411,27414
13322,21410,27430
11165,21410,27455
11251,21410,27455
11165,21411,27462
11251,21411,27462
16310,21411,27481
16310,21410,27497
13322,21410,27612
13322,21411,27619
13460,21411,27829
13460,21410,27845
13890,21411,27915
13890,21410,27931
16310,21410,28255
13460,21410,28259
16310,21411,28262
11026,21410,28265
13460,21411,28266
11026,21411,28272
13890,21410,28282
13890,21411,28289
14863,21410,28312
19617,21410,28315
14863,21411,28319
19617,21411,28322
12805,21411,28425
12805,21410,28441
11476,21411,29061
11476,21410,29077
18667,21411,29134
18162,21411,29142
10167,21411,29150
18667,21410,29150
18162,21410,29158
10167,21410,29166
13569,21411,29178
11498,21411,29181
13569,21410,29194
11498,21410,29197
16433,21411,29218
16433,21410,29234
12188,21411,29239
13667,21411,29239
12188,21410,29255
13667,21410,29255
11586,21411,29284
15701,21411,29285
12611,21411,29291
11586,21410,29300
15701,21410,29301
11655,21411,29306
12611,21410,29307
12375,21411,29311
12241,21411,29319
11655,21410,29322
12375,21410,29327
12241,21410,29335
18601,21411,29345
16132,21411,29358
18601,21410,29361
16132,21410,29374
16543,21411,29394
12472,21411,29399
16543,21410,29410
16466,21411,29414
12472,21410,29415
18574,21411,29420
19547,21411,29424
16466,21410,29430
12534,21411,29433
18574,21410,29436
19992,21411,29436
19547,21410,29440
12868,21411,29441
17576,21411,29446
12534,21410,29449
19992,21410,29452
15518,21411,29455
12868,21410,29457
10943,21411,29462
17576,21410,29462
12429,21411,29464
15518,21410,29471
10943,21410,29478
12429,21410,29480
13569,21410,29489
13569,21411,29496
12188,21410,29497
17873,21411,29500
12188,21411,29504
17873,21410,29516
14165,21411,29529
16433,21410,29537
16433,21411,29543
14165,21410,29545
19231,21411,29556
11655,21410,29564
11655,21411,29571
19231,21410,29572
15222,21411,29586
16965,21411,29587
11672,21411,29591
12375,21410,29593
14721,21411,29597
12375,21411,29600
14878,21411,29601
15222,21410,29602
16965,21410,29603
11672,21410,29607
12735,21411,29607
11586,21410,29609
14721,21410,29613
16832,21411,29614
13820,21411,29615
11586,21411,29617
14878,21410,29617
12735,21410,29623
16832,21410,29630
13820,21410,29631
13498,21411,29633
13498,21410,29649
17773,21411,29652
11991,21411,29661
17773,21410,29668
11991,21410,29677
15561,21411,29688
19427,21411,29695
15561,21410,29704
19427,21410,29711
15518,21410,29713
16913,21411,29720
15518,21411,29721
18651,21411,29725
14445,21411,29726
19036,21411,29732
19860,21411,29732
18447,21411,29735
16913,21410,29736
18651,21410,29741
14445,21410,29742
13921,21411,29744
19916,21411,29744
19036,21410,29748
19860,21410,29748
18447,21410,29751
15479,21411,29754
10982,21411,29759
18519,21411,29759
13921,21410,29760
19916,21410,29760
17704,21411,29767
15479,21410,29770
10982,21410,29775
18519,21410,29775
17704,21410,29783
10143,21411,29786
14165,21410,29792
11203,21411,29793
12429,21410,29799
14165,21411,29799
10143,21410,29802
12429,21411,29806
19231,21410,29806
11203,21410,29809
19231,21411,29813
18388,21411,29816
18388,21410,29832
19192,21411,29832
16148,21411,29838
16633,21411,29848
19192,21410,29848
11930,21411,29851
19387,21411,29851
13687,21411,29854
16148,21410,29854
13783,21411,29859
16633,21410,29864
11930,21410,29867
19387,21410,29867
13687,21410,29870
13159,21411,29875
13783,21410,29875
16672,21411,29876
16851,21411,29879
18280,21411,29882
12593,21411,29887
13159,21410,29891
16672,21410,29892
15671,21411,29894
16851,21410,29895
12582,21411,29896
14041,21411,29897
18280,21410,29898
17242,21411,29901
12593,21410,29903
15671,21410,29910
12582,21410,29912
14041,21410,29913
15542,21411,29916
17242,21410,29917
19209,21411,29918
15542,21410,29932
19209,21410,29934
18447,21410,29936
15949,21411,29938
15536,21411,29941
18447,21411,29944
16913,21410,29949
15949,21410,29954
19916,21410,29954
16913,21411,29956
15536,21410,29957
19916,21411,29962
16347,21411,29980
19157,21411,29987
10172,21411,29993
16347,21410,29996
14930,21411,30001
19157,21410,30003
16615,21411,30007
11846,21411,30008
10172,21410,30009
10955,21411,30015
14930,21410,30017
19284,21411,30019
16615,21410,30023
11846,21410,30024
15222,21410,30025
15028,21411,30028
10955,21410,30031
15222,21411,30033
19284,21410,30035
15561,21410,30037
15753,21411,30038
15028,21410,30044
15561,21411,30045
17281,21411,30049
16965,21410,30051
15753,21410,30054
18613,21411,30054
16965,21411,30058
17281,21410,30065
17773,21410,30070
18613,21410,30070
12196,21411,30078
17773,21411,30078
12805,21410,30087
17576,21410,30091
12196,21410,30094
12805,21411,30094
17704,21410,30094
17576,21411,30098
11476,21410,30099
11991,21410,30100
17704,21411,30102
17559,21411,30103
11476,21411,30106
10941,21411,30108
11991,21411,30108
19192,21410,30113
13159,21410,30115
17559,21410,30119
19192,21411,30120
13159,21411,30122
10941,21410,30124
14445,21410,30128
18388,21410,30129
12745,21411,30130
14445,21411,30135
18388,21411,30136
13901,21411,30137
17105,21411,30145
12745,21410,30146
19387,21410,30147
13901,21410,30153
19387,21411,30155
17037,21411,30157
17105,21410,30161
13208,21411,30165
17037,21410,30173
18280,21410,30173
13485,21411,30179
13208,21410,30181
18280,21411,30181
16615,21410,30183
17242,21410,30187
16615,21411,30191
15671,21410,30192
13485,21410,30195
17242,21411,30195
15671,21411,30199
19574,21411,30207
12169,21411,30214
19157,21410,30214
19157,21411,30221
19574,21410,30223
10985,21411,30224
12169,21410,30230
13663,21411,30234
14930,21410,30236
10985,21410,30240
14930,21411,30243
11619,21411,30245
19479,21411,30247
10172,21410,30250
13663,21410,30250
13315,21411,30251
10334,21411,30255
10172,21411,30257
13783,21410,30260
11619,21410,30261
14741,21411,30261
19479,21410,30263
13315,21410,30267
13783,21411,30267
13589,21411,30270
10334,21410,30271
14368,21411,30274
11553,21411,30276
14741,21410,30277
13589,21410,30286
14084,21411,30289
14368,21410,30290
11553,21410,30292
11213,21411,30294
11792,21411,30298
14084,21410,30305
11213,21410,30310
14573,21411,30312
11792,21410,30314
10015,21411,30323
14573,21410,30328
12196,21410,30338
10015,21410,30339
17573,21411,30339
12196,21411,30345
19612,21411,30354
17573,21410,30355
12745,21410,30356
10941,21410,30364
12745,21411,30364
19612,21410,30370
10941,21411,30371
17355,21411,30375
18352,21411,30381
16533,21411,30388
17355,21410,30391
19479,21410,30395
18352,21410,30397
15028,21410,30399
18695,21411,30402
12169,21410,30403
19479,21411,30403
16533,21410,30404
15028,21411,30406
18762,21411,30407
12169,21411,30411
18695,21410,30418
11950,21411,30419
18762,21410,30423
16208,21411,30427
16425,21411,30429
10985,21410,30430
11950,21410,30435
17105,21410,30437
10985,21411,30438
16208,21410,30443
14144,21411,30444
16425,21410,30445
17105,21411,30445
17281,21410,30448
14228,21411,30456
17281,21411,30456
14144,21410,30460
12517,21411,30468
13901,21410,30469
14228,21410,30472
13901,21411,30476
16773,21411,30480
11792,21410,30482
12517,21410,30484
11792,21411,30488
16773,21410,30496
10319,21411,30497
19802,21411,30511
10319,21410,30513
19269,21411,30515
15485,21411,30520
19802,21410,30527
19269,21410,30531
15485,21410,30536
16241,21411,30541
18738,21411,30544
18506,21411,30548
18839,21411,30555
16241,21410,30557
18738,21410,30560
17154,21411,30562
18506,21410,30564
14573,21410,30569
16148,21410,30569
18839,21410,30571
13687,21410,30576
14368,21410,30577
14573,21411,30577
16148,21411,30577
19992,21410,30577
17154,21410,30578
13498,21410,30582
16533,21410,30583
13687,21411,30584
14368,21411,30585
16427,21411,30585
19992,21411,30585
17573,21410,30586
13498,21411,30590
11950,21410,30591
18651,21410,30591
16533,21411,30592
17573,21411,30594
15701,21410,30596
16132,21410,30596
11950,21411,30599
14721,21410,30599
18651,21411,30599
16427,21410,30601
15485,21410,30603
10955,21410,30604
15701,21411,30604
16132,21411,30604
17037,21410,30604
12779,21411,30605
11672,21410,30606
19036,21410,30607
19427,21410,30607
14721,21411,30608
19209,21410,30608
11486,21411,30609
19269,21410,30609
18352,21410,30610
10955,21411,30612
15485,21411,30612
17037,21411,30612
10631,21411,30613
14741,21410,30613
11672,21411,30614
19036,21411,30616
19427,21411,30616
11203,21410,30617
13589,21410,30617
19209,21411,30618
19269,21411,30618
18625,21411,30619
11553,21410,30621
12779,21410,30621
18352,21411,30621
14741,21411,30623
19284,21410,30623
11203,21411,30625
11486,21410,30625
13589,21411,30626
10631,21410,30629
11553,21411,30629
18519,21410,30629
12472,21410,30630
10334,21410,30632
16672,21410,30632
19284,21411,30632
10982,21410,30634
18625,21410,30635
12868,21410,30636
