id,sid,time
11396,11116,27193
16111,11116,27197
11396,11017,27200
16111,11017,27205
11396,10916,27207
16111,10918,27213
11396,10817,27214
16111,10818,27220
11396,10818,27221
16111,10717,27227
11396,10717,27228
16111,10618,27234
11396,10718,27235
16111,10518,27241
11396,10618,27242
16111,10418,27248
11396,10518,27249
16111,10318,27255
11396,10418,27256
16111,10218,27262
11396,10318,27263
11396,10218,27270
16310,11116,28329
13460,11116,28333
16310,11017,28336
11026,11116,28339
13460,11117,28340
16310,10918,28343
11026,11015,28346
13460,11118,28347
16310,10818,28350
11026,10915,28353
11026,10815,28360
13890,11116,28363
13890,11117,28370
13890,11118,28377
13890,11018,28384
14863,11116,28386
19617,11116,28389
13890,10918,28391
14863,11115,28393
19617,11015,28396
13890,10818,28398
19617,10915,28403
13890,10718,28405
19617,10815,28410
13890,10618,28412
19617,10715,28417
13890,10518,28419
19617,10615,28424
19617,10515,28431
16453,11116,29065
16453,11015,29072
16453,10915,29079
13828,11116,29082
16453,10815,29086
13828,11017,29088
16453,10716,29093
13828,11018,29094
13828,10918,29100
16453,10615,29100
13828,10818,29106
16453,10515,29107
18401,11116,29112
14715,11117,29114
16453,10415,29114
18401,11015,29119
14715,11118,29121
16453,10315,29121
18401,10915,29126
16453,10215,29128
18401,10815,29133
13828,10718,29139
16453,10315,29139
18401,10715,29141
13828,10618,29145
16453,10415,29146
18401,10615,29148
18401,10515,29155
18401,10416,29163
18401,10315,29170
18401,10215,29177
15712,11116,29196
15712,11015,29203
18401,10216,29209
15712,10915,29210
18401,10317,29216
15712,10816,29217
17623,11116,29219
18401,10418,29223
15466,11116,29225
17623,11015,29225
15712,10815,29229
17623,10915,29231
15466,11015,29232
13005,11116,29233
17623,10815,29237
11478,11116,29239
15466,10915,29239
13005,11015,29240
17561,11116,29243
17623,10715,29244
11478,11017,29246
12075,11116,29246
15466,10815,29246
13005,10915,29247
17561,11015,29251
11478,10918,29252
12075,11015,29253
13005,10815,29254
15466,10715,29254
15214,11116,29257
11478,10818,29258
17561,10915,29258
17235,11116,29259
12075,10915,29260
15466,10615,29261
13005,10716,29263
15214,11117,29264
15298,11116,29264
11478,10717,29265
17561,10815,29265
17235,11015,29266
12075,10815,29267
19779,11116,29267
15466,10516,29268
11478,10618,29271
15214,11118,29271
