id,sid,time
11741,11515,32086
14180,11515,32099
16028,10019,32128
18548,11515,32170
16347,11505,32347
18734,10019,32352
14353,10019,32384
19694,11517,32412
10248,11515,32438
12764,11515,32443
12357,11515,32460
19290,11517,32519
17561,11515,32529
14100,10019,32672
18823,11515,32765
13939,11515,32858
14368,11515,33094
14044,10019,34532
17536,11505,34546
13573,11515,34548
11537,10019,34606
18902,11515,34670
13208,11517,34702
10967,11515,34716
11974,11517,34732
17005,11505,34786
14792,11515,34888
10435,11515,34908
13344,10019,34948
12847,11515,34986
13698,10019,35034
16576,11515,35043
16348,11517,35050
15394,11515,35061
18653,11515,35064
12429,11515,35080
15970,11517,35085
17556,11515,35101
16327,11517,35113
14926,11515,35149
18751,11515,35156
15074,11515,35158
10331,11517,35182
19396,11517,35222
15357,10019,35241
17163,11517,35260
13092,11505,35330
15630,11517,35500
11232,11505,35558
13687,11505,35705
15961,11517,35709
19173,11505,35943
13990,11517,37228
18616,11515,37285
15324,10019,37400
19612,11517,37430
13958,10019,37451
17355,11515,37475
12052,11515,37495
18250,10019,37495
18645,10019,37512
18596,11505,37520
17361,11515,37577
16257,11505,37586
19345,11515,37586
14612,11517,37602
13850,11515,37622
18445,11515,37633
12222,11515,37678
19339,11515,37683
12405,11515,37692
17149,11517,37699
18352,11515,37727
14443,11505,37746
17435,11517,37746
16769,11517,37748
12401,11505,37750
10402,11515,37786
12864,11517,37803
13951,11517,37813
19669,11515,37817
12811,11505,37826
13435,11517,37833
16294,11517,37850
13227,11505,37857
17320,11515,37861
11955,11505,37872
13178,11515,37882
14052,11517,37912
18364,10019,37937
15195,11515,37962
16193,11515,37977
12090,11517,37978
11197,10019,37979
14576,11505,38001
16425,11505,38009
18583,11517,38016
14764,11515,38051
13120,11515,38052
16433,11517,38066
15288,11505,38106
19209,11505,38201
17295,11517,38305
11433,11515,38430
16632,10019,38904
13592,11515,39244
15423,11505,39281
10097,11517,39293
13825,11515,39301
16929,11515,39311
16900,11515,39335
12919,11515,39341
16603,11505,39351
13293,11517,39354
17509,11515,39364
11907,11515,39366
16707,11517,39375
15226,11505,39391
12981,11515,39398
18175,11515,39409
15171,11505,39418
15951,11517,39430
19906,11515,39451
10070,11517,39453
11120,11517,39463
17520,11515,39468
15020,11515,39478
17632,11515,39479
18099,11517,39481
13111,11505,39482
14164,11517,39482
16284,11515,39486
14098,11517,39489
11363,11515,39494
12732,11515,39505
14413,11517,39507
17700,11517,39517
14434,11515,39524
17033,11515,39537
14417,11515,39549
18437,11517,39550
13206,11515,39564
15875,11505,39578
17219,11505,39579
14491,11515,39585
19739,11517,39589
15863,11517,39590
10883,11515,39605
19405,11515,39606
18400,11505,39610
12677,11515,39611
18045,11517,39611
11584,11515,39623
17061,11505,39626
16081,11515,39628
17884,11515,39632
11786,11515,39647
13177,11517,39654
19367,11515,39659
14416,11515,39666
12651,11505,39674
18341,11505,39681
11579,11515,39734
15890,11517,39739
19750,11517,39739
19151,11515,39754
10465,11517,39769
11230,11517,39779
12827,11517,39779
16701,11515,39786
16703,11515,39787
16084,11517,39789
10695,11505,39791
11301,11515,39794
13193,11515,39796
12613,11517,39805
13766,11517,39809
13870,11515,39814
10087,11515,39824
11957,11505,39827
11684,11505,39864
16067,11505,39867
13142,11505,39870
14734,11515,39881
