id,sid,time
14629,21405,33834
14629,21505,33841
14629,21504,33848
14629,21503,33855
14629,21502,33862
14629,21501,33869
13990,21405,34079
13990,21404,34086
13990,21403,34093
13990,21402,34100
13990,21401,34107
17536,21405,34349
17536,21504,34356
17536,21503,34363
17536,21502,34370
17536,21403,34409
17536,21404,34416
17536,21405,34423
11853,21405,34651
11853,21304,34658
11853,21303,34665
11853,21302,34672
11853,21301,34679
17149,21405,34850
17149,21504,34856
14612,21405,34957
14612,21304,34964
14612,21303,34971
14612,21302,34978
14612,21303,35129
17149,21405,35129
14612,21304,35136
14612,21305,35143
14612,21405,35150
11853,21402,35169
11853,21403,35176
11853,21404,35183
11853,21405,35190
16364,21405,35219
16364,21404,35226
16364,21504,35233
16364,21503,35240
16364,21502,35247
16364,21403,35279
16364,21404,35286
16364,21405,35293
14559,21405,36648
14559,21504,36655
14559,21503,36662
14002,21405,36850
14002,21504,36857
14002,21503,36864
14002,21502,36871
14002,21501,36878
12735,21405,36904
12735,21404,36911
12735,21403,36918
17375,21405,36958
17375,21504,36964
17375,21503,36970
12749,21405,36971
17375,21502,36977
12749,21304,36978
17375,21501,36983
15375,21405,37059
15375,21404,37065
15375,21403,37071
15375,21502,37078
13990,21402,37089
13990,21403,37096
13990,21404,37103
13990,21405,37110
14740,21405,37309
14740,21305,37316
19363,21405,37407
19363,21505,37414
12554,21405,37523
12554,21404,37530
12554,21403,37537
12554,21302,37545
14641,21405,37698
14641,21404,37705
11242,21405,37708
14641,21304,37712
11242,21404,37715
15861,21405,37718
14641,21303,37720
16378,21405,37720
11242,21403,37722
15861,21404,37725
14641,21302,37727
16378,21404,37727
11242,21402,37729
15861,21303,37732
14641,21301,37735
11242,21401,37736
14641,21300,37742
11242,21400,37743
14629,21502,37779
15466,21405,37779
14629,21403,37786
15466,21504,37786
14577,21405,37790
14629,21404,37793
15466,21503,37793
14577,21504,37797
14629,21405,37800
15466,21502,37800
14577,21503,37804
19472,21405,37806
14577,21402,37812
19472,21304,37814
14577,21401,37819
19363,21405,37819
19472,21303,37822
19472,21302,37830
13341,21405,37836
19472,21301,37838
14641,21301,37839
15861,21403,37839
19472,21300,37845
14641,21302,37847
15861,21404,37847
14641,21303,37855
15861,21405,37855
12735,21304,37859
16378,21405,37859
14641,21404,37862
12735,21405,37866
14577,21402,37869
14641,21405,37869
14577,21403,37876
11651,21405,37878
14577,21404,37883
11651,21404,37885
10750,21405,37889
14577,21405,37890
11651,21304,37892
11801,21405,37896
10750,21505,37897
11651,21303,37899
16987,21405,37901
11801,21504,37905
11651,21302,37906
15646,21405,37906
10750,21405,37909
16987,21404,37909
15646,21504,37914
16987,21403,37916
11651,21403,37919
15646,21503,37921
11651,21404,37926
19482,21405,37928
19691,21405,37930
11651,21405,37933
19482,21404,37935
19691,21504,37938
16987,21404,37939
19482,21303,37942
10014,21405,37946
16987,21405,37946
19691,21503,37946
11801,21505,37949
10014,21304,37953
19691,21502,37954
13212,21405,37955
11801,21405,37956
10014,21303,37960
19691,21501,37962
13212,21504,37963
10014,21302,37967
13212,21503,37970
10201,21405,37976
10014,21303,37979
10201,21304,37983
10014,21404,37986
10201,21303,37990
10014,21405,37992
10201,21402,37997
18138,21405,37999
10201,21401,38004
10201,21501,38011
13351,21405,38016
13351,21505,38024
16208,21405,38034
14056,21405,38038
16208,21304,38042
14056,21404,38046
16208,21303,38050
14056,21403,38053
16208,21302,38058
12383,21405,38060
14056,21402,38060
