id,sid,time
16111,10219,27269
11396,10219,27277
17704,11121,30206
11991,11121,30211
17704,11021,30213
17773,10923,30213
11991,11021,30218
17704,10921,30220
17773,10823,30220
17576,11121,30224
11991,10921,30225
17704,10821,30227
17576,11120,30231
11991,10821,30232
17704,10721,30234
17576,11119,30238
11991,10721,30239
17704,10621,30241
11991,10621,30246
11476,11124,30247
17704,10521,30248
11476,11125,30254
17704,10421,30255
17704,10321,30262
12805,10219,30263
12805,10319,30270
16615,11125,30327
16615,11126,30335
16615,11127,30342
16615,11027,30349
16615,10927,30356
12169,11121,30512
12169,11122,30518
19479,11124,30544
19479,11125,30551
19479,11025,30559
19479,10925,30566
19479,10825,30573
10182,11125,30577
19916,11125,30577
12953,11125,30579
19479,10725,30580
10182,11025,30585
11216,11125,30585
19916,11025,30585
19479,10625,30587
12953,11025,30588
10182,10925,30592
11216,11025,30593
19916,10925,30593
10162,11125,30594
19479,10525,30594
12953,10925,30596
10182,10825,30599
10162,11025,30601
11216,10925,30601
19479,10425,30601
19916,10825,30601
12953,10825,30604
15708,11125,30604
10182,10725,30606
10162,11024,30608
15434,11121,30608
19479,10325,30608
11216,10825,30609
19916,10725,30609
12188,11121,30610
17551,11125,30611
12953,10725,30612
15708,11025,30612
10182,10625,30613
19078,11121,30613
13635,11121,30614
11704,11121,30615
15434,11021,30615
11216,10725,30617
19916,10625,30617
12188,11021,30618
15708,10925,30619
17353,11125,30619
17551,11124,30619
10182,10525,30620
17002,11125,30621
19078,11021,30621
13635,11021,30622
15434,10921,30622
10976,11121,30623
11704,11021,30623
11904,11125,30623
11199,11121,30624
15867,11125,30624
11216,10625,30625
12403,11121,30625
10984,11121,30626
12188,10921,30626
15708,10924,30626
17353,11025,30627
17002,11025,30628
19637,11125,30628
15434,10920,30629
18853,11121,30629
19078,10921,30629
19903,11121,30629
18996,11121,30630
10976,11021,30631
11704,11022,30631
11199,11021,30632
11216,10525,30632
11904,11025,30632
12909,11121,30632
13666,11125,30632
14514,11121,30632
15867,11025,30632
12403,11021,30633
12188,10821,30634
17353,10925,30634
10984,11021,30635
16581,11125,30635
17002,10925,30635
19637,11025,30636
10791,11125,30637
13213,11121,30637
18581,11121,30637
19078,10821,30637
18853,11122,30638
19903,11021,30638
11216,10524,30639
18996,11021,30639
11199,11022,30640
11904,10925,30640
13666,11025,30640
15235,11121,30640
15867,10925,30640
10836,11121,30641
12188,10721,30641
12403,10921,30641
12909,11021,30641
14514,11122,30641
17353,10825,30641
17551,11022,30641
15504,10923,30642
17002,10924,30642
10214,11125,30643
11201,11125,30643
16591,11121,30643
19637,10925,30643
10984,10921,30644
16581,11025,30644
10791,11025,30645
19078,10721,30645
11170,11121,30646
11216,10523,30646
11704,10923,30646
11840,11121,30646
13213,11021,30646
14326,11121,30646
18581,11021,30646
13666,10925,30647
15214,11125,30647
19903,10921,30647
11904,10825,30648
12188,10722,30648
12403,10821,30648
15504,10823,30648
15867,10825,30648
17353,10725,30648
17551,11021,30648
18996,10921,30648
10930,11125,30649
15235,11021,30649
17002,10923,30649
10836,11021,30650
12909,10921,30650
13621,11121,30650
19637,10825,30650
10214,11025,30651
11154,11125,30651
11201,11025,30651
10984,10821,30652
16581,10925,30652
16591,11021,30652
19331,11121,30652
10791,10925,30653
11216,10522,30653
11704,10924,30653
19078,10621,30653
11170,11021,30655
11199,11024,30655
11840,11021,30655
13213,10921,30655
13666,10825,30655
14326,11122,30655
15214,11025,30655
15504,10723,30655
15867,10725,30655
17353,10724,30655
18581,10921,30655
18996,10821,30655
19903,10821,30655
11296,11121,30656
11904,10725,30656
12523,11125,30656
14514,11124,30656
17239,11121,30656
17551,10921,30657
19637,10725,30657
10930,11025,30658
11750,10923,30658
12909,10821,30658
10214,10925,30659
10836,11022,30659
11201,10925,30659
13621,11021,30659
15235,11022,30659
10984,10721,30660
11154,11025,30660
11191,11125,30660
11704,10925,30660
16581,10825,30660
10791,10825,30661
11637,11121,30661
19078,10521,30661
19331,11021,30661
15867,10625,30662
16591,10921,30662
17353,10723,30662
18853,10923,30662
18996,10721,30662
12625,11121,30663
13666,10725,30663
14514,11125,30663
15214,10925,30663
15296,11121,30663
15815,11125,30663
19903,10721,30663
11296,11021,30664
11904,10625,30664
12523,11025,30664
13213,10922,30664
17239,11122,30664
18581,10920,30664
11170,10921,30665
11750,10823,30665
12563,11121,30665
14959,11024,30665
15550,11121,30665
17551,10821,30665
19637,10625,30665
10930,10925,30666
11840,10921,30666
10214,10825,30667
10984,10621,30667
11201,10825,30667
12909,10820,30667
15295,11121,30667
15736,11125,30667
17407,11121,30667
11154,10925,30668
11191,11025,30668
11704,10825,30668
13621,10921,30668
16581,10725,30668
19010,11121,30668
10791,10725,30669
11637,11021,30669
17353,10722,30669
18996,10621,30669
19670,10923,30669
10685,11121,30670
11245,11125,30670
12653,11122,30670
19331,10921,30670
12625,11021,30671
13213,10923,30671
13666,10625,30671
14514,11025,30671
15154,11121,30671
15214,10825,30671
15248,11125,30671
15296,11021,30671
15815,11025,30671
16591,10821,30671
19903,10621,30671
11750,10723,30672
11904,10624,30672
12523,10925,30672
14052,11121,30672
14959,11025,30672
15453,11121,30672
11170,10920,30673
11296,11022,30673
11818,11121,30673
12563,11122,30673
16695,11124,30673
17551,10820,30673
19637,10525,30673
11840,10821,30674
15550,11021,30674
17967,11121,30674
10214,10725,30675
10930,10825,30675
10984,10622,30675
11201,10725,30675
12429,11121,30675
15736,11025,30675
15764,11121,30675
18422,11125,30675
11154,10825,30676
11191,10925,30676
11704,10725,30676
13621,10922,30676
15235,11024,30676
15295,11021,30676
16581,10625,30676
17353,10721,30676
17407,11021,30676
18996,10521,30676
10791,10726,30677
11032,11121,30677
14326,11024,30677
16848,11121,30677
19010,11021,30677
19670,10823,30677
10490,11121,30678
11245,11025,30678
12653,11121,30678
13481,11121,30678
16127,10923,30678
13666,10525,30679
15214,10725,30679
15248,11025,30679
15296,10921,30679
15815,10925,30679
19331,10821,30679
19903,10521,30679
10685,11021,30680
12523,10825,30680
12625,10921,30680
13213,10823,30680
14276,11121,30680
14959,10925,30680
16695,11125,30680
17239,11124,30680
19637,10425,30680
14052,11021,30681
15154,11021,30681
16822,11121,30681
18057,11024,30681
10865,11121,30682
10984,10623,30682
11840,10721,30682
15453,11021,30682
10214,10625,30683
10930,10725,30683
11201,10625,30683
14836,11121,30683
15550,10921,30683
15736,10925,30683
15991,11121,30683
18422,11025,30683
18687,11125,30683
18996,10522,30683
11154,10725,30684
11191,10825,30684
11818,11021,30684
15235,11025,30684
18100,11121,30684
19670,10723,30684
12429,11021,30685
14326,11025,30685
15295,10921,30685
16581,10525,30685
17407,10921,30685
17967,11021,30685
11245,10925,30686
13666,10425,30686
15296,10821,30686
15764,11021,30686
15815,10825,30686
16127,10823,30686
16250,11121,30686
19394,10923,30686
19637,10424,30686
10804,11121,30687
14959,10825,30687
16695,11025,30687
17239,11125,30687
18280,11121,30687
18413,11121,30687
19010,10921,30687
19157,11121,30687
19331,10721,30687
19903,10522,30687
11032,11122,30688
11269,11121,30688
12523,10725,30688
12625,10821,30688
13213,10824,30688
15214,10625,30688
15248,10925,30688
16848,11021,30688
10490,11021,30689
10984,10624,30689
11840,10722,30689
13481,11021,30689
15600,11125,30689
10685,11020,30690
12653,11021,30690
14790,11121,30690
18057,11025,30690
18996,10523,30690
10214,10525,30691
11201,10525,30691
14052,10921,30691
15550,10821,30691
15736,10825,30691
16747,11121,30691
18008,11121,30691
18687,11025,30691
10930,10625,30692
11191,10725,30692
14276,11021,30692
15154,10921,30692
16822,11021,30692
19637,10423,30692
19714,11121,30692
11154,10726,30693
11945,11121,30693
13022,11121,30693
13666,10426,30693
15235,10925,30693
15295,10920,30693
15453,10921,30693
15815,10725,30693
16127,10824,30693
16581,10425,30693
17407,10920,30693
18292,11121,30693
10865,11021,30694
11245,10825,30694
12615,11125,30694
15296,10721,30694
17239,11025,30694
19394,10823,30694
11369,11024,30695
11818,10921,30695
14836,11021,30695
14959,10725,30695
15248,10825,30695
15991,11021,30695
19010,10920,30695
19331,10621,30695
12028,11121,30696
12429,10921,30696
12625,10721,30696
12721,11125,30696
13028,11121,30696
13335,11125,30696
16695,11026,30696
17967,11020,30696
18100,11021,30696
12523,10625,30697
12563,10923,30697
15214,10626,30697
15600,11025,30697
15764,10921,30697
10136,11121,30698
13770,11121,30698
14101,11121,30698
16250,11122,30698
10012,10923,30699
10214,10425,30699
10804,11021,30699
11201,10425,30699
14052,10821,30699
15736,10725,30699
16848,11022,30699
18057,10925,30699
18280,11021,30699
10930,10525,30700
11269,11021,30700
12102,11121,30700
15550,10721,30700
16581,10424,30700
18413,11021,30700
19157,11122,30700
10490,10921,30701
11245,10725,30701
13481,10921,30701
15154,10821,30701
15235,10825,30701
15296,10722,30701
15815,10625,30701
18687,10925,30701
19394,10723,30701
12615,11025,30702
14790,11021,30702
15248,10725,30702
15453,10922,30702
15793,11121,30702
19331,10622,30702
10546,11121,30703
10880,11121,30703
11369,11025,30703
12653,10921,30703
17239,10925,30703
18350,11121,30703
11123,11121,30704
11292,11121,30704
11818,10821,30704
12625,10720,30704
12721,11025,30704
12781,11125,30704
13335,11025,30704
14959,10726,30704
16747,11021,30704
16822,10921,30704
18008,11021,30704
19714,11021,30704
11945,11021,30705
12523,10525,30705
14276,10921,30705
17860,11121,30705
10865,10921,30706
11201,10426,30706
12105,11125,30706
12156,11121,30706
13022,11021,30706
14231,11121,30706
15764,10922,30706
18057,10825,30706
18292,11021,30706
10214,10424,30707
14052,10721,30707
14836,11022,30707
15600,10925,30707
15991,10921,30707
10012,10823,30708
12028,11021,30708
12603,11121,30708
13028,11021,30708
14288,11121,30708
15296,10723,30708
