id,sid,time
19326,10807,29067
19326,10707,29074
17636,10907,29080
19326,10608,29081
15820,10807,29087
17636,10808,29087
15820,10708,29094
19996,10908,29100
17636,10608,29101
19996,10807,29107
16705,10907,29109
19996,10707,29114
12868,10907,29163
12868,10808,29170
17636,10608,29174
14649,10807,29177
17636,10607,29181
14649,10707,29184
14370,10707,29187
14649,10608,29191
14370,10608,29194
19547,10707,29198
19547,10608,29205
10295,10907,29215
10295,10808,29222
17435,10607,29227
11901,10807,29229
17435,10508,29235
11901,10707,29236
14179,10907,29238
14515,10707,29239
15110,10807,29239
12804,10907,29240
11901,10608,29243
11453,10707,29244
10936,10907,29245
14179,10808,29245
14515,10608,29246
15110,10708,29246
12804,10808,29248
11453,10608,29251
14179,10707,29252
10936,10808,29253
15110,10608,29253
14612,10807,29257
14179,10608,29259
14836,10808,29261
15329,10807,29263
15293,10607,29271
15329,10708,29271
18465,10907,29273
11388,10707,29275
14370,10908,29275
14868,10807,29275
15293,10508,29278
15329,10608,29278
18465,10808,29281
11388,10608,29282
14868,10708,29283
12403,10907,29285
19255,10907,29286
12403,10808,29292
19635,10907,29292
19255,10808,29294
10975,10608,29300
19635,10808,29300
16394,10807,29301
19255,10707,29301
16394,10708,29308
19255,10608,29308
19512,10807,29308
12979,10807,29309
16040,10807,29309
16879,10907,29309
17902,10907,29309
12864,10908,29314
19635,10608,29315
12979,10707,29316
16879,10808,29316
19512,10708,29316
16040,10707,29317
17902,10808,29317
19224,10907,29318
12864,10808,29321
16737,10808,29322
12979,10608,29323
16040,10608,29324
19224,10808,29325
10077,10308,29337
11850,10807,29340
19141,10607,29340
10077,10307,29344
19547,10508,29344
12156,10907,29345
16276,10607,29346
11850,10707,29347
19141,10507,29348
19512,10308,29348
15110,10508,29349
17159,10907,29349
12156,10808,29352
12463,10908,29352
11850,10608,29354
13951,10608,29355
19141,10408,29355
17159,10808,29356
15110,10507,29357
18343,10907,29360
12156,10708,29367
16351,10407,29367
17815,10507,29373
16351,10308,29374
10884,10907,29381
12804,10308,29384
18315,10908,29385
19363,10508,29386
17815,10307,29387
15727,10607,29388
10884,10808,29389
12102,10907,29391
15732,10807,29392
19645,10507,29392
16291,10807,29394
15727,10508,29396
10508,10807,29398
12102,10808,29399
14726,10907,29399
15732,10708,29399
16291,10708,29401
14115,10908,29405
10508,10707,29406
14726,10808,29407
16291,10608,29408
15727,10308,29410
14115,10808,29412
10508,10608,29413
18315,10508,29416
14115,10707,29419
12735,10907,29421
13253,10807,29424
14115,10608,29426
12735,10808,29428
12888,10908,29428
11672,10908,29430
13253,10708,29432
14646,10807,29434
14766,10807,29435
10295,10808,29440
13253,10607,29440
14646,10707,29441
14766,10808,29442
10295,10908,29447
13253,10508,29448
14646,10608,29448
14515,10808,29451
13072,10807,29452
13169,10807,29456
14515,10908,29458
13072,10707,29459
10884,10908,29460
13072,10608,29466
16040,10608,29466
13498,10807,29468
12924,10907,29470
19431,10908,29470
13169,10707,29471
16653,10407,29474
13498,10708,29475
14836,10608,29475
19431,10808,29477
13169,10708,29478
16653,10308,29481
12924,10707,29485
17121,10807,29485
12924,10708,29492
15646,10707,29493
17121,10708,29493
19635,10808,29493
17435,10608,29496
13247,10907,29499
15646,10708,29500
19635,10908,29500
11453,10708,29501
17121,10608,29501
19860,10907,29501
17435,10707,29504
13247,10808,29506
15646,10607,29508
19860,10808,29509
17435,10807,29511
15874,10707,29512
15646,10508,29516
18208,10708,29520
12716,10907,29521
13921,10807,29522
15311,10807,29522
18208,10608,29527
10402,10807,29528
12716,10808,29529
13921,10707,29529
11930,10907,29531
15311,10808,29531
15874,10407,29534
13610,10907,29535
13921,10608,29535
19363,10608,29536
19684,10708,29537
11930,10808,29539
15874,10307,29541
13610,10808,29543
19363,10708,29544
19684,10707,29544
14766,10808,29545
15366,10908,29548
18613,10807,29548
15311,10608,29549
19363,10807,29552
15366,10808,29555
18613,10708,29556
14420,10907,29562
18613,10608,29563
14420,10808,29569
18489,10907,29573
17327,10608,29576
11068,10607,29581
18489,10808,29581
10508,10808,29585
14987,10807,29586
18548,10807,29592
16219,10907,29593
14987,10708,29594
14231,10807,29595
16737,10508,29595
13569,10508,29597
18548,10707,29600
15232,10907,29601
16219,10908,29601
12338,10808,29603
14110,10807,29603
14231,10708,29603
13569,10408,29605
12669,10707,29606
18548,10608,29606
15232,10808,29609
12338,10907,29611
14110,10707,29611
14736,10407,29615
10134,10608,29617
12399,10907,29617
14736,10308,29622
10373,10407,29623
12399,10808,29626
17013,10607,29626
14110,10407,29633
17013,10508,29634
14110,10307,29639
17109,10908,29640
14464,10807,29643
10879,10907,29645
11994,10908,29650
14464,10808,29652
10879,10808,29653
11994,10808,29656
11444,10808,29658
14034,10807,29658
17961,10908,29662
10516,10807,29667
12716,10808,29667
14034,10707,29667
11632,10807,29673
12716,10907,29674
14034,10608,29674
10516,10708,29675
19860,10908,29676
10107,10907,29681
17208,10907,29681
10516,10608,29682
11089,10708,29683
13688,10707,29684
12909,10807,29685
13515,10807,29686
10107,10808,29689
17208,10908,29689
12593,10907,29692
12909,10708,29694
17208,10808,29695
11083,10908,29696
10609,10908,29698
12593,10808,29700
18048,10508,29700
16515,10908,29702
12222,10907,29708
13935,10907,29708
18048,10607,29708
16515,10808,29709
12222,10908,29716
13935,10908,29716
18116,10508,29717
12222,10808,29723
18116,10607,29725
15355,10807,29727
14288,10907,29732
11009,10508,29736
15355,10707,29736
16590,10907,29739
14288,10808,29740
11009,10607,29743
15355,10608,29743
18581,10708,29743
16590,10808,29747
11166,10707,29748
18581,10608,29750
11868,10907,29751
15881,10707,29752
11166,10608,29756
10420,10907,29757
11001,10507,29757
11868,10808,29759
10680,10808,29760
11523,10608,29760
15881,10608,29760
16590,10708,29762
10420,10908,29766
10879,10808,29767
13880,10807,29768
15097,10907,29771
19107,10808,29771
11683,10908,29774
10879,10907,29775
10349,10407,29778
13880,10708,29778
15097,10808,29779
10349,10307,29784
15079,10907,29786
17327,10808,29787
14566,10907,29788
18822,10408,29789
12324,10707,29793
15079,10908,29795
17327,10908,29795
12324,10608,29801
10420,10508,29802
15566,10607,29807
15081,10708,29808
10420,10408,29810
18100,10807,29810
15081,10608,29815
15566,10507,29816
18100,10808,29819
16272,10707,29824
11083,10508,29827
18903,10908,29830
16272,10608,29832
19010,10908,29834
14464,10808,29837
16087,10907,29837
13813,10407,29838
15775,10707,29840
15717,10907,29843
13813,10308,29845
14464,10908,29845
10495,10508,29846
14687,10708,29846
16087,10908,29846
17195,10707,29847
15775,10608,29848
13747,10807,29852
15717,10808,29852
