id,sid,time
10744,20805,43230
11502,20505,43233
12960,20805,43233
14529,20805,43233
14535,20805,43233
14787,20805,43236
15506,20805,43236
10744,20804,43237
11502,20604,43240
14529,20804,43241
14535,20804,43241
10439,20805,43242
19295,20805,43242
11787,20805,43245
12470,20805,43245
14787,20705,43245
15506,20705,43245
19054,20805,43245
12323,20805,43246
11502,20703,43247
12293,20805,43247
14529,20803,43248
13238,20805,43249
14535,20703,43249
14812,20805,43249
10439,20904,43250
17380,20805,43250
19295,20804,43250
14787,20604,43252
18733,20805,43252
11502,20803,43254
11787,20705,43254
12470,20705,43254
19054,20705,43254
12323,20705,43255
13535,20505,43255
14529,20702,43255
16564,20805,43255
18297,20805,43255
10090,20805,43257
12293,20804,43257
19295,20903,43257
10121,20805,43259
13238,20804,43259
14812,20705,43259
15306,20505,43259
10418,20805,43261
17380,20705,43261
11502,20902,43262
11787,20604,43262
12340,20805,43262
12470,20604,43262
13535,20605,43262
18733,20705,43262
12323,20605,43263
16157,20805,43264
16564,20705,43264
18244,20805,43264
18468,20805,43264
19295,20902,43264
12293,20903,43265
18297,20904,43265
10649,20505,43266
15306,20405,43266
10037,20805,43267
10090,20705,43267
13238,20703,43267
10780,20805,43268
11642,20805,43268
14812,20605,43268
10121,20705,43269
12023,20805,43269
13535,20705,43269
11787,20503,43270
12323,20505,43270
12470,20503,43270
15169,20805,43270
17380,20704,43270
19540,20805,43270
10418,20705,43271
17458,20805,43271
18096,20805,43271
18733,20604,43271
12340,20705,43272
16564,20604,43272
15306,20404,43273
18244,20804,43273
18264,20505,43273
18297,20903,43273
10232,20805,43274
10649,20504,43274
16157,20705,43274
13238,20602,43275
14657,20805,43275
14777,20505,43275
18181,20805,43275
10090,20605,43276
14812,20504,43276
10037,20705,43277
11787,20402,43277
12323,20404,43277
12470,20502,43277
13292,20805,43277
17380,20604,43277
10041,20805,43278
10121,20604,43278
10780,20804,43278
11642,20705,43278
18733,20503,43278
16564,20503,43279
12023,20904,43280
13533,20805,43280
15306,20304,43280
17096,20805,43280
10418,20604,43281
10649,20503,43281
15169,20904,43281
17916,20805,43281
18264,20404,43281
18297,20902,43281
18907,20505,43281
19115,20805,43281
19540,20804,43281
12340,20604,43282
14777,20405,43282
10090,20604,43283
14812,20503,43283
17458,20804,43283
18096,20804,43283
19942,20805,43283
12323,20304,43284
12470,20402,43284
16157,20604,43284
19986,20805,43284
19988,20805,43284
10232,20705,43285
17189,20805,43285
17380,20503,43285
18733,20403,43285
10121,20503,43286
10780,20704,43286
11804,20805,43286
13741,20805,43286
14657,20705,43286
11642,20604,43287
12023,20803,43287
13986,20505,43287
18181,20804,43287
14069,20805,43288
16875,20505,43288
18264,20303,43288
18907,20404,43288
10418,20504,43289
13292,20705,43289
14256,20805,43289
14777,20404,43289
15169,20903,43289
19540,20704,43289
10041,20705,43290
17724,20805,43290
12034,20805,43291
12323,20205,43291
12340,20503,43291
12470,20302,43291
13533,20804,43291
14812,20402,43291
14962,20805,43291
10090,20603,43292
16224,20805,43292
17096,20804,43292
17458,20803,43292
18096,20704,43292
18733,20302,43292
10780,20604,43293
16157,20503,43293
17916,20804,43293
19115,20904,43293
10121,20402,43294
10232,20704,43294
18330,20805,43294
19278,20805,43294
19942,20804,43294
11028,20805,43295
14657,20604,43295
18907,20303,43295
10418,20404,43296
11096,20805,43296
11642,20503,43296
14777,20304,43296
16875,20405,43296
18181,20703,43296
19986,20705,43296
19988,20905,43296
12211,20805,43297
13229,20805,43297
17189,20804,43297
19588,20505,43297
11804,20804,43298
12470,20202,43298
13292,20704,43298
13741,20705,43298
14601,20805,43298
15223,20805,43299
10041,20704,43300
13251,20805,43300
13533,20703,43300
14069,20804,43300
10780,20603,43301
11794,20805,43301
14256,20905,43301
17096,20704,43301
10232,20603,43302
11547,20205,43302
12192,20805,43302
12277,20805,43302
16017,20805,43302
16157,20502,43302
17724,20804,43302
17916,20703,43302
18907,20203,43302
16875,20305,43303
17214,20805,43303
18181,20602,43303
19942,20704,43303
10418,20304,43304
12034,20804,43304
14962,20705,43304
17286,20505,43304
19588,20404,43304
11642,20402,43305
16224,20705,43305
17953,20505,43305
17997,20805,43305
10409,20805,43306
13292,20604,43306
17189,20703,43306
17633,20805,43306
11176,20805,43307
13741,20605,43307
18330,20804,43307
19278,20804,43307
10780,20502,43308
11028,20905,43308
11804,20803,43308
13533,20603,43308
14219,20805,43308
10041,20603,43309
12586,20805,43309
14069,20904,43309
16139,20805,43309
10232,20602,43310
11096,20904,43310
12211,20804,43310
13229,20705,43310
13613,20805,43310
14601,20905,43310
17916,20602,43310
18181,20502,43310
10388,20505,43311
13860,20805,43311
17724,20803,43311
19588,20303,43311
10418,20204,43312
11952,20805,43312
15223,20705,43312
17286,20405,43312
17953,20404,43312
19942,20604,43312
11642,20302,43313
11727,20805,43313
12034,20703,43313
13741,20504,43313
14962,20604,43313
11794,20705,43314
11903,20805,43314
13251,20904,43314
13292,20504,43314
13330,20805,43314
16224,20605,43314
16431,20805,43314
17273,20805,43314
12192,20705,43315
12277,20705,43316
14069,20903,43316
14599,20505,43316
16017,20904,43316
16634,20805,43316
10041,20502,43317
12432,20805,43317
16790,20805,43317
17214,20804,43317
18330,20803,43317
18877,20805,43317
19278,20803,43317
17997,20705,43318
19588,20202,43318
10388,20404,43319
10409,20905,43319
10571,20805,43319
13741,20405,43319
12211,20703,43320
13229,20605,43320
13650,20805,43320
17633,20804,43320
19942,20504,43320
11176,20904,43321
13292,20404,43321
14219,20804,43321
14962,20504,43321
16224,20505,43321
16815,20805,43321
19777,20505,43321
15223,20604,43322
12586,20804,43323
13613,20705,43323
14069,20902,43323
14599,20404,43323
16139,20705,43323
19034,20805,43323
19137,20205,43323
11794,20604,43324
12029,20805,43324
16017,20903,43324
10041,20402,43325
12192,20605,43325
13860,20804,43325
15922,20805,43325
18151,20805,43325
18718,20805,43325
10388,20303,43326
10634,20805,43326
11952,20804,43326
12277,20604,43326
12339,20805,43326
13741,20305,43326
18330,20902,43326
19278,20702,43326
13121,20205,43327
13229,20505,43327
19172,20805,43327
11727,20705,43328
13330,20705,43328
14962,20404,43328
16224,20404,43328
16431,20705,43328
17633,20703,43328
11903,20804,43329
12211,20602,43329
14219,20803,43329
17273,20804,43329
17997,20605,43329
18786,20805,43329
19777,20405,43329
11176,20903,43330
15223,20503,43330
16634,20804,43330
13442,20805,43331
14599,20304,43331
15539,20805,43331
16017,20802,43331
19137,20304,43331
11794,20504,43332
12192,20505,43332
12432,20904,43332
12586,20803,43332
13243,20505,43332
16790,20904,43332
17874,20805,43332
18877,20804,43332
10571,20705,43333
12968,20805,43333
13613,20704,43333
13741,20204,43333
18450,20805,43333
12277,20503,43334
13860,20703,43334
16139,20604,43334
11658,20805,43335
11782,20805,43335
11952,20704,43335
13229,20405,43335
13650,20804,43335
16815,20705,43335
14962,20304,43336
17514,20805,43336
17997,20505,43336
19777,20404,43336
14094,20805,43337
14219,20703,43337
17633,20602,43337
19034,20804,43337
19356,20805,43337
12570,20805,43338
12650,20805,43338
14599,20403,43338
17273,20803,43338
11727,20604,43339
11903,20903,43339
13330,20604,43339
15922,20904,43339
16431,20605,43339
18151,20705,43339
19137,20403,43339
10634,20804,43340
12192,20405,43340
13243,20405,43340
14742,20505,43340
16634,20703,43340
12339,20804,43341
12586,20802,43341
13613,20703,43341
16139,20505,43341
16790,20803,43341
18300,20805,43342
18877,20703,43342
19026,20805,43342
19172,20804,43342
19266,20805,43342
11952,20604,43343
13229,20305,43343
13860,20602,43343
15165,20805,43343
15979,20505,43343
16957,20805,43343
18482,20805,43343
18786,20804,43343
10571,20605,43344
14599,20302,43344
17997,20404,43344
19777,20304,43344
10284,20805,43345
10933,20805,43345
12929,20205,43345
13442,20904,43345
13650,20803,43345
15539,20705,43345
12968,20904,43346
13132,20805,43346
13746,20805,43346
14219,20603,43346
16431,20505,43346
16815,20604,43346
17598,20505,43346
17874,20705,43346
13367,20805,43347
18450,20804,43347
11727,20503,43348
12132,20205,43348
12192,20305,43348
13243,20305,43348
13330,20503,43348
14629,20805,43348
14742,20504,43348
14868,20505,43348
15922,20903,43348
15946,20805,43348
17233,20805,43348
19034,20703,43348
10634,20704,43349
10935,20805,43349
11658,20705,43349
11782,20705,43349
16139,20405,43349
16634,20702,43349
18151,20604,43349
10545,20505,43350
17251,20805,43350
17514,20705,43350
18557,20805,43350
19259,20805,43350
10571,20505,43351
12339,20803,43351
14094,20804,43352
18851,20805,43352
18877,20702,43352
19356,20904,43352
12374,20505,43353
12570,20804,43353
12650,20804,43353
12929,20204,43353
13642,20805,43353
17997,20304,43353
18786,20704,43353
13650,20902,43354
18193,20205,43354
19487,20805,43354
19541,20805,43354
12703,20505,43355
15539,20605,43355
16815,20504,43355
17598,20404,43355
10046,20805,43356
11834,20805,43356
13243,20204,43356
14742,20403,43356
16139,20305,43356
16182,20505,43356
16367,20205,43356
16369,20505,43356
17874,20604,43356
18300,20804,43356
19266,20804,43356
10634,20603,43357
14868,20405,43357
18151,20503,43357
18450,20704,43357
19026,20904,43357
10545,20404,43358
13330,20402,43358
13999,20805,43358
14616,20805,43358
15165,20904,43358
19034,20702,43358
10463,20505,43359
11658,20605,43359
11782,20604,43359
16957,20804,43359
18482,20705,43359
15607,20805,43360
18953,20505,43360
19689,20805,43360
10284,20705,43361
10933,20705,43361
13132,20804,43361
13746,20804,43361
14094,20903,43361
17514,20604,43361
17863,20805,43361
11602,20805,43362
13367,20705,43362
15539,20505,43362
17997,20204,43362
18193,20204,43362
18786,20604,43362
12374,20405,43363
12570,20703,43363
12650,20704,43363
15570,20805,43363
16815,20404,43363
17598,20304,43363
18524,20505,43363
