id,sid,time
11396,20710,25400
11396,20610,25407
15367,20710,25487
15367,20610,25494
16111,20710,25540
16111,20611,25547
10196,20710,25590
15800,20710,25595
10196,20610,25597
15800,20611,25602
11462,20710,25676
11462,20610,25683
13300,20710,25807
13300,20711,25814
12856,20710,25817
12856,20711,25823
11876,20710,25974
11876,20711,25981
10164,20710,26019
10164,20610,26026
11778,20710,26056
18689,20710,26059
11778,20610,26063
18689,20711,26066
14678,20710,26137
14678,20711,26144
18367,20710,26219
18367,20611,26226
17516,20710,26250
17516,20711,26257
14825,20710,26270
12573,20710,26276
14825,20610,26277
12573,20711,26283
18123,20710,26436
18123,20610,26443
13339,20710,26467
13339,20611,26474
13982,20710,26574
19027,20710,26640
19027,20611,26647
18059,20710,26680
18059,20610,26687
14819,20710,26725
15670,20710,26756
15670,20711,26764
15152,20710,26779
15152,20610,26786
16290,20710,26789
10638,20710,26937
12573,20710,26959
15801,20710,26960
19617,20710,26960
15801,20611,26969
19617,20610,26969
18059,20710,26979
18123,20710,26989
10164,20710,26999
10196,20710,26999
14678,20710,26999
15801,20710,26999
17516,20710,26999
11462,20710,27009
14825,20710,27019
19027,20710,27019
11778,20710,27029
15670,20710,27029
11876,20710,27039
13300,20710,27039
13339,20710,27039
15367,20710,27039
16111,20710,27039
11396,20710,27049
15152,20710,27049
18367,20710,27049
18689,20710,27049
15800,20710,27059
12856,20710,27069
12602,20710,27095
12602,20611,27102
14863,20710,27120
14863,20610,27127
10762,20710,27136
12602,20610,27139
12602,20710,27147
15408,20710,27151
15408,20611,27159
19627,20710,27163
19627,20611,27170
11532,20710,27188
11532,20611,27195
15408,20710,27229
19627,20711,27229
19627,20710,27235
11532,20710,27259
16065,20710,27268
11143,20710,27290
11026,20710,27297
11143,20711,27297
17054,20710,27300
11026,20611,27304
17054,20711,27307
11143,20710,27309
17054,20710,27319
11251,20710,27373
11251,20610,27380
11165,20710,27381
11165,20611,27388
11165,20710,27399
11251,20710,27399
13322,20710,27493
13322,20610,27500
13322,20710,27549
16310,20710,27553
16310,20610,27560
13460,20710,27901
13460,20611,27908
13890,20710,27987
13890,20611,27994
13460,20711,28189
13460,20710,28196
16310,20710,28199
11026,20710,28209
13890,20711,28219
13890,20710,28226
14863,20710,28249
19617,20710,28259
12805,20710,28504
12805,20610,28511
11476,20710,29133
11476,20711,29140
12611,20710,29363
12611,20610,29370
18574,20710,29494
18574,20611,29501
17576,20710,29527
17576,20611,29534
17773,20710,29726
11991,20710,29734
17704,20710,29844
17704,20611,29852
12805,20710,30029
17576,20710,30029
17704,20710,30029
11476,20710,30039
16615,20710,30086
16615,20610,30093
16615,20710,30119
13485,20710,30273
13485,20611,30280
12169,20710,30284
19479,20710,30328
11619,20710,30329
11619,20611,30337
13485,20710,30609
12611,20710,30639
18574,20710,30649
11619,20711,31239
11619,20710,31246
16045,20710,31259
12426,20710,39527
12206,20710,39936
15095,20710,39975
15095,20610,39983
18347,20710,40049
18347,20611,40056
10705,20710,40079
18347,20710,40079
10345,20710,40136
10345,20711,40144
10345,20710,40169
13578,20710,40179
13578,20611,40187
14859,20710,40202
19682,20710,40255
19682,20711,40263
11383,20710,40293
11383,20711,40302
18185,20710,40327
18185,20611,40335
14255,20710,41632
14255,20611,41640
11396,20710,41744
11396,20610,41752
11396,20710,41789
10309,20710,41790
19682,20611,41979
12206,20611,41999
11496,20710,42003
15095,20611,42009
11496,20611,42011
10705,20610,42019
12426,20711,42019
18185,20610,42019
13578,20710,42049
17516,20710,42088
17516,20711,42096
13339,20710,42098
13982,20710,42105
13339,20610,42106
16290,20710,42112
13982,20611,42114
12856,20710,42117
16290,20611,42120
13460,20710,42124
12856,20610,42125
14863,20710,42131
13460,20611,42132
11462,20710,42136
16310,20710,42137
16045,20710,42138
14863,20711,42139
19627,20710,42139
11462,20711,42144
16310,20610,42145
16045,20610,42147
19627,20610,42147
15152,20710,42149
18347,20710,42150
15152,20711,42156
15387,20710,42160
10164,20710,42166
15801,20710,42171
19617,20710,42171
10345,20710,42173
11026,20710,42176
11778,20710,42180
14825,20710,42180
15801,20711,42180
19617,20611,42180
10345,20610,42182
14678,20710,42182
10762,20710,42183
11026,20610,42186
18574,20710,42186
13322,20710,42188
18367,20710,42189
11778,20610,42191
13890,20710,42191
14825,20611,42191
14859,20710,42192
12611,20710,42195
18574,20611,42197
15408,20710,42198
13322,20611,42199
18367,20611,42200
14859,20711,42204
17576,20710,42205
11251,20710,42206
12169,20710,42210
15408,20610,42210
11251,20611,42217
12169,20610,42221
16111,20710,42225
16111,20711,42236
11476,20710,42259
16615,20710,42260
11476,20610,42270
11991,20710,42296
17773,20710,42312
17773,20611,42324
13485,20710,42394
17704,20710,42405
13485,20611,42406
12805,20710,42417
17704,20610,42417
12805,20711,42429
19479,20710,42450
19479,20611,42462
10345,20710,43809
12426,20710,43809
13982,20711,43809
14825,20610,43809
15152,20611,43809
15408,20710,43809
16111,20710,43809
17704,20711,43809
18367,20610,43809
18574,20710,43809
19479,20710,43809
10705,20710,43819
11476,20710,43819
15801,20611,43819
16290,20710,43819
16310,20711,43819
17773,20710,43819
19617,20710,43819
14825,20710,43821
18367,20710,43821
12805,20710,43829
13485,20711,43829
14859,20710,43829
14863,20710,43829
18185,20611,43829
10309,20711,43839
11462,20710,43839
11778,20611,43839
12206,20711,43839
12856,20611,43839
15387,20610,43839
16045,20711,43839
19627,20710,43839
11026,20710,43849
11251,20610,43849
11496,20710,43849
12169,20710,43849
13339,20611,43849
14255,20711,43849
15152,20610,43849
17704,20710,43849
15152,20710,43856
11778,20610,43859
11778,20710,43867
11251,20710,43869
13485,20710,43869
13982,20710,43869
15801,20610,43869
15801,20710,43877
13322,20710,43879
16310,20710,43879
13460,20710,43889
