id,sid,time
10638,11419,27179
10638,11420,27186
10638,11520,27193
10638,11519,27200
15800,11419,27207
15800,11420,27214
15800,11520,27221
10762,11419,27320
10762,11420,27327
10762,11520,27334
10762,11519,27341
13322,11420,27707
13322,11520,27714
13322,11519,27721
15764,11419,29392
18236,11420,29410
14566,11419,29685
15504,11419,29738
15504,11420,29744
10880,11419,29836
11560,11419,29849
14101,11419,29884
14101,11420,29890
10791,11420,30092
10791,11419,30119
16257,11419,30131
13663,11420,30139
13663,11419,30146
17773,11419,30164
17773,11420,30171
13481,11419,30312
18690,11419,30312
18690,11420,30319
13783,11419,30348
13783,11420,30355
17914,11419,30362
17914,11420,30369
13635,11419,30426
17914,11419,30432
18690,11420,30563
18690,11419,30570
14600,11419,30582
16933,11419,30609
15793,11419,30620
15793,11420,30627
12864,11419,30658
10317,11419,30684
13498,11419,30688
13498,11420,30695
14573,11419,30708
14641,11419,30709
18204,11419,30712
19209,11419,30714
14573,11420,30715
14641,11420,30717
18428,11419,30718
13623,11419,30721
19209,11420,30723
15166,11420,30724
10821,11419,30728
13623,11420,30728
10019,11419,30729
15366,11419,30732
10427,11419,30736
13263,11419,30737
13315,11419,30743
16705,11419,30749
15732,11419,30751
13050,11419,30753
11596,11419,30758
19284,11419,30763
14721,11419,30770
18473,11419,30773
10420,11419,30774
11355,11419,30778
14721,11420,30778
14741,11419,30779
10420,11420,30782
14930,11419,30783
11355,11420,30787
14741,11420,30788
13589,11420,30796
10943,11419,30801
16316,11419,30801
16018,11419,30808
11850,11419,30811
10565,11419,30814
16018,11420,30815
14158,11419,30822
13239,11420,30827
15205,11419,30827
14158,11420,30829
16425,11419,30831
12260,11420,30834
16696,11419,30834
15205,11420,30835
11523,11419,30836
13958,11419,30837
13958,11420,30845
14680,11419,30847
10107,11419,30857
15770,11419,30861
10107,11420,30863
11160,11419,30866
18690,11419,30880
18690,11420,30887
10772,11419,30891
18061,11419,30893
11242,11419,30897
19754,11419,30904
11242,11420,30905
18289,11419,30905
17943,11419,30908
17951,11419,30908
15343,11419,30912
18289,11420,30912
17943,11420,30915
12669,11419,30920
15343,11420,30920
15409,11419,30923
14110,11419,30926
19205,11419,30929
15409,11420,30930
18903,11420,30931
14110,11420,30933
17355,11419,30933
11213,11419,30939
17355,11420,30940
16351,11420,30943
18823,11419,30944
11845,11419,30945
18823,11420,30952
11845,11420,30953
16159,11419,30953
19761,11419,30974
19092,11420,30976
18274,11419,30982
18274,11420,30989
10051,11419,30990
10329,11419,30993
17778,11419,30993
10293,11419,30998
10656,11419,30998
12399,11419,30998
13333,11419,31002
13903,11419,31005
10293,11420,31006
12527,11419,31006
17100,11419,31009
13423,11419,31012
12527,11420,31014
13619,11419,31015
16542,11419,31018
13423,11420,31020
14561,11419,31020
13630,11419,31025
14561,11420,31027
13630,11420,31033
16191,11420,31033
19356,11419,31046
17007,11419,31057
16758,11419,31060
16758,11420,31067
17145,11419,31069
12813,11419,31070
10115,11419,31073
12813,11420,31077
12406,11419,31087
16185,11419,31107
10249,11419,31108
10249,11420,31116
16920,11419,31118
16920,11420,31125
14672,11419,31128
19423,11419,31129
19823,11419,31130
12373,11419,31133
14672,11420,31135
19423,11420,31137
19823,11420,31138
16556,11419,31155
18476,11419,31157
10766,11419,31161
18476,11420,31164
18187,11420,31174
16810,11419,31204
18096,11419,31208
16796,11419,31212
18096,11420,31215
16796,11420,31219
18450,11419,31232
18450,11420,31239
17149,11419,31256
17286,11419,31264
17286,11420,31271
18096,11419,31279
17375,11419,31292
19182,11419,31301
17598,11419,31302
17598,11420,31309
11347,11419,31323
13135,11419,31331
18592,11419,31333
10608,11419,31337
15371,11419,31343
10608,11420,31345
14692,11419,31347
16777,11419,31352
15680,11419,31366
17598,11419,31369
13243,11419,31371
15680,11420,31373
10774,11419,31382
10774,11420,31389
12122,11419,31391
12122,11420,31399
19655,11420,31399
19295,11419,31404
19295,11420,31411
11547,11419,31423
18482,11419,31429
11547,11420,31430
18482,11420,31437
11025,11419,31447
18953,11419,31450
15510,11419,31452
18953,11420,31458
18482,11419,31459
15510,11420,31460
17297,11419,31461
17297,11420,31468
14094,11419,31476
10240,11419,31487
14535,11420,31528
18745,11419,31537
17297,11419,31539
18745,11420,31544
10046,11419,31546
12122,11419,31549
18877,11420,31553
10046,11420,31554
14716,11420,31565
11547,11420,31573
11547,11419,31581
19278,11419,31597
14535,11419,31612
16012,11419,31618
15327,11420,31623
16012,11420,31626
14992,11419,31632
14992,11420,31639
18877,11419,31639
12815,11419,31658
19278,11420,31659
11480,11420,31733
17294,11419,31735
17916,11419,31744
17916,11420,31751
13248,11419,31754
19090,11419,31764
11219,11419,31771
11219,11420,31779
10205,11419,31803
19689,11419,31803
10284,11419,31809
19689,11420,31811
12355,11419,31814
19278,11420,31819
10579,11419,31823
15393,11420,31824
15393,11419,31832
11787,11419,31834
15738,11419,31892
15738,11420,31900
11535,11419,31906
11535,11420,31914
19632,11419,31943
14917,11419,31965
15337,11419,31971
14423,11419,31987
15738,11419,31989
12857,11419,31990
10744,11419,31992
12857,11420,31998
16564,11419,32043
16393,11419,32050
16564,11420,32050
16634,11419,32053
14745,11419,32057
16634,11420,32061
14261,11419,32085
10933,11419,32087
14261,11420,32093
16875,11419,32105
18882,11419,32109
16875,11420,32113
12192,11419,32114
19259,11419,32114
12034,11419,32119
12192,11420,32122
19259,11420,32123
14802,11419,32124
12034,11420,32128
15370,11420,32128
19290,11419,32148
16875,11419,32159
14261,11419,32169
15780,11419,32172
15780,11420,32180
18578,11419,32184
19835,11419,32189
19835,11420,32196
10713,11419,32207
12034,11419,32209
10713,11420,32215
17189,11419,32223
14473,11419,32224
17189,11420,32230
18379,11420,32230
15145,11420,32248
10085,11419,32253
15145,11419,32257
10085,11420,32260
10101,11419,32270
17852,11419,32286
14951,11419,32302
13428,11419,32309
14951,11420,32310
17189,11419,32329
17595,11420,32343
18315,11419,32362
16011,11420,32365
16011,11419,32373
19019,11420,32373
18953,11419,32379
10419,11420,32381
19019,11419,32381
12492,11419,32387
10248,11420,32388
19694,11419,32388
16687,11419,32394
10248,11419,32396
15646,11420,32397
12181,11420,32400
13571,11419,32401
19838,11419,32403
15375,11420,32404
13571,11420,32409
17286,11419,32414
17242,11419,32431
15049,11419,32432
14607,11419,32439
15049,11420,32439
17355,11419,32441
10046,11420,32443
18365,11419,32445
19347,11420,32448
10046,11419,32453
18549,11419,32456
17538,11419,32459
17733,11419,32471
19823,11419,32480
18575,11419,32494
11328,11419,32497
15049,11419,32499
11478,11420,32507
13571,11419,32509
12917,11419,32515
15195,11419,32519
13999,11419,32523
15195,11420,32527
12181,11419,32529
18792,11419,32533
10704,11419,32537
10256,11419,32542
11267,11419,32546
16971,11419,32546
10545,11420,32547
12577,11419,32547
17591,11419,32550
11267,11420,32556
17850,11419,32556
12577,11420,32557
11550,11419,32559
17591,11420,32560
17993,11420,32563
15120,11419,32564
15652,11419,32564
17865,11419,32568
17993,11419,32572
15120,11420,32573
18608,11419,32574
10927,11420,32576
14470,11419,32576
12726,11419,32582
10927,11419,32584
13442,11420,32584
14470,11420,32585
18506,11420,32588
17183,11419,32590
13442,11419,32592
14132,11420,32596
18506,11419,32596
12623,11419,32597
17800,11419,32598
18161,11419,32600
15711,11419,32605
13854,11419,32610
15881,11419,32610
18161,11420,32610
15711,11420,32615
13783,11419,32619
12749,11419,32627
16687,11419,32629
12749,11420,32636
13132,11419,32637
15709,11419,32656
19559,11419,32659
15709,11420,32664
17765,11419,32667
17765,11420,32675
19137,11419,32675
11328,11419,32685
17325,11419,32697
19347,11419,32702
17325,11420,32705
19347,11420,32710
13313,11419,32713
13313,11420,32720
12548,11419,32737
18692,11420,32791
17501,11419,32795
13939,11420,32814
13939,11419,32821
19442,11419,32841
17242,11419,32847
12493,11419,32853
17242,11420,32855
12493,11420,32860
18780,11419,32861
16102,11419,32866
18780,11420,32868
11977,11419,32877
18169,11420,32883
12629,11419,32965
12629,11420,32972
11525,11419,32973
13504,11419,32990
13504,11420,32997
16500,11419,33002
18281,11419,33031
18281,11420,33038
14368,11420,33052
14368,11419,33059
15587,11419,33067
12052,11419,33077
11686,11419,33078
18193,11419,33079
18193,11420,33086
17375,11420,33313
12864,11419,33372
10750,11419,33426
12373,11419,33448
17759,11419,33641
11201,11419,33664
11201,11420,33670
18171,11420,33672
12735,11420,34192
12111,11419,34205
14755,11419,34372
14755,11420,34379
13208,11420,34565
15460,11419,34601
11786,11419,34667
13208,11419,34679
11232,11419,34686
15375,11419,34725
14600,11420,34731
12847,11420,34733
14600,11419,34738
14764,11419,34752
14612,11419,34820
19405,11420,34827
11651,11419,34880
10854,11420,34883
10891,11420,34885
15429,11420,34886
10854,11419,34889
15429,11419,34894
18169,11419,34911
16084,11419,34921
15027,11420,34934
15027,11419,34941
14641,11419,34949
14766,11420,34957
10891,11419,34969
19143,11419,34983
17750,11419,34988
11097,11420,35013
19209,11419,35018
11097,11419,35020
14476,11420,35020
16348,11420,35021
14476,11419,35027
16348,11419,35028
12429,11420,35035
12429,11419,35042
17556,11420,35056
12111,11419,35062
17556,11419,35063
14048,11419,35066
10522,11419,35069
19442,11419,35079
13594,11419,35081
10975,11419,35089
16327,11419,35089
13783,11419,35092
14926,11420,35098
15630,11419,35100
18751,11420,35102
19623,11419,35102
14075,11419,35105
14926,11419,35105
14261,11420,35109
18751,11419,35110
11738,11420,35133
11738,11419,35140
13406,11420,35141
11691,11419,35145
19009,11419,35148
11836,11419,35149
19165,11419,35149
10463,11420,35150
17171,11420,35151
12287,11419,35157
15934,11420,35160
17947,11420,35161
15934,11419,35169
17947,11419,35170
14651,11419,35172
15187,11420,35177
14576,11419,35183
15187,11419,35185
16505,11419,35190
14043,11419,35192
18223,11419,35193
14617,11419,35194
16505,11420,35198
14021,11419,35205
17171,11419,35209
16593,11420,35210
16593,11419,35218
17163,11420,35218
13820,11420,35219
18250,11419,35221
16100,11419,35225
11752,11419,35226
17163,11419,35226
13820,11419,35227
12527,11420,35229
18250,11420,35229
12527,11419,35237
15965,11419,35240
15587,11419,35243
12827,11419,35245
15587,11420,35251
12785,11419,35254
12827,11420,35254
11171,11419,35255
12443,11419,35255
11171,11420,35263
10469,11419,35270
10469,11420,35278
16351,11419,35279
13415,11419,35283
10463,11419,35289
14783,11419,35290
10027,11420,35294
13152,11420,35299
10027,11419,35301
13411,11419,35313
10282,11419,35318
11632,11419,35318
11632,11420,35326
11651,11419,35326
11526,11419,35330
10561,11419,35331
14600,11419,35335
11526,11420,35337
15780,11419,35343
15780,11420,35350
12090,11419,35361
10240,11420,35362
15646,11419,35362
16946,11419,35363
11966,11419,35374
13024,11419,35421
13943,11419,35428
10858,11419,35446
12332,11419,35446
10858,11420,35453
12332,11420,35453
11098,11419,35458
13450,11419,35462
11098,11420,35465
19367,11420,35474
11597,11419,35476
11597,11420,35483
12508,11419,35492
13966,11419,35493
12508,11420,35499
13966,11420,35500
15352,11419,35500
12843,11419,35514
15512,11419,35519
15512,11420,35526
10713,11419,35528
17145,11419,35528
17145,11420,35535
19367,11419,35539
11704,11419,35552
19888,11419,35552
11704,11420,35559
19888,11420,35559
13959,11419,35562
13959,11420,35569
18800,11419,35571
14356,11419,35577
14677,11419,35578
12508,11419,35579
14356,11420,35584
15577,11419,35599
16208,11419,35604
15577,11420,35606
10791,11419,35612
10791,11420,35620
16100,11419,35622
19223,11419,35636
12581,11419,35641
19223,11420,35643
18626,11419,35655
13516,11419,35659
18626,11420,35662
11231,11419,35669
16493,11419,35669
11231,11420,35676
16493,11420,35676
12975,11419,35683
12823,11419,35736
15923,11419,35739
15923,11420,35746
10070,11419,35958
17520,11419,35964
14434,11419,35969
14434,11420,35977
11684,11420,35989
10695,11420,36035
16707,11419,36035
16067,11419,36039
10695,11419,36042
16707,11420,36043
13825,11419,36088
17061,11419,36097
17061,11420,36105
16707,11419,36139
17061,11419,36159
13592,11419,36185
16831,11419,36385
16831,11420,36391
17204,11419,36400
17204,11420,36407
11061,11419,36425
12368,11419,36430
15423,11419,36433
12368,11420,36437
19151,11419,36437
15423,11420,36441
17061,11419,36443
18451,11420,36465
18451,11419,36519
11312,11419,36545
11312,11420,36552
13206,11420,36570
13206,11419,36577
18175,11420,36600
18175,11419,36607
15020,11419,36804
15020,11420,36811
12799,11420,36840
12799,11419,36847
15861,11420,37237
12554,11420,37391
12554,11419,37398
19612,11420,37402
19612,11419,37409
15580,11419,37417
17355,11420,37431
17355,11419,37438
19799,11420,37448
19799,11419,37455
10201,11419,37528
18786,11419,37537
15729,11420,37540
16765,11419,37540
13411,11420,37557
14868,11419,37558
13411,11419,37564
14612,11420,37572
14612,11419,37579
11242,11419,37582
15861,11420,37584
15861,11419,37591
12704,11419,37600
13862,11420,37609
19482,11419,37611
11526,11420,37614
13862,11419,37616
15710,11419,37623
12222,11420,37636
12222,11419,37643
12405,11419,37651
14395,11420,37654
14395,11419,37661
11809,11419,37663
10402,11420,37667
11901,11419,37667
19472,11419,37671
10402,11419,37675
15787,11419,37677
18352,11420,37679
18352,11419,37687
18154,11420,37692
15803,11419,37694
13341,11419,37696
15563,11419,37696
11179,11419,37702
16769,11420,37715
15745,11419,37717
17435,11419,37723
11526,11419,37747
19823,11419,37751
13943,11420,37764
16987,11419,37765
19475,11419,37765
15703,11420,37768
10649,11419,37769
13943,11419,37772
15703,11419,37775
12864,11419,37778
13951,11420,37784
10373,11419,37789
13951,11419,37791
15475,11419,37809
10014,11420,37810
12186,11419,37811
10014,11419,37817
11226,11420,37818
17320,11419,37820
11275,11420,37823
11226,11419,37826
11275,11419,37831
14576,11420,37838
13178,11419,37839
16036,11420,37839
19182,11419,37841
10661,11420,37846
13333,11419,37848
16938,11420,37859
18375,11419,37864
18432,11419,37865
14052,11419,37870
10725,11420,37873
18265,11419,37876
18477,11420,37879
11452,11420,37894
15603,11419,37897
11452,11419,37902
14894,11420,37902
18603,11420,37904
15519,11419,37905
14894,11419,37909
14166,11419,37917
15030,11420,37918
11480,11419,37925
19966,11420,37927
13279,11420,37931
13252,11419,37937
13028,11420,37945
14745,11419,37945
12090,11420,37948
15467,11419,37950
12090,11419,37956
12727,11420,37968
16652,11419,37972
18950,11419,37972
12914,11419,37975
12727,11419,37976
18950,11420,37980
13606,11420,37989
18684,11419,37997
13606,11419,37998
15453,11419,38002
11642,11419,38003
10725,11419,38009
19151,11419,38012
17860,11420,38018
14833,11419,38019
19151,11420,38020
11320,11419,38025
17860,11419,38025
10982,11419,38031
14777,11419,38034
16433,11420,38036
16433,11419,38043
19966,11419,38049
11969,11419,38053
10022,11420,38055
17233,11419,38061
10022,11419,38062
11887,11420,38064
17233,11420,38068
11887,11419,38071
11553,11420,38076
19151,11419,38079
11553,11419,38083
10772,11420,38088
10772,11419,38096
15332,11420,38105
19559,11419,38108
10865,11419,38110
14577,11420,38112
15332,11419,38112
17519,11419,38124
16987,11420,38125
10058,11419,38127
13666,11419,38135
19645,11420,38136
16094,11419,38144
15182,11420,38145
10014,11419,38146
15189,11419,38149
15182,11419,38152
18232,11419,38152
16442,11419,38158
12603,11419,38163
19009,11420,38163
15745,11419,38165
19331,11419,38166
19204,11419,38172
16185,11419,38173
10019,11419,38181
16960,11420,38183
10469,11420,38185
14158,11419,38189
16960,11419,38189
17164,11420,38190
10469,11419,38193
12909,11419,38194
17164,11419,38198
18401,11419,38198
12758,11419,38202
12625,11419,38211
19007,11419,38215
14632,11419,38216
10430,11420,38223
12135,11419,38229
10430,11419,38230
18281,11419,38230
13440,11419,38237
11486,11419,38238
13370,11420,38241
13370,11419,38248
16631,11419,38263
18447,11420,38280
16100,11419,38293
16421,11419,38295
10561,11420,38298
11176,11419,38304
16429,11419,38311
10018,11419,38320
15512,11419,38325
19608,11419,38325
17109,11420,38326
17109,11419,38333
15890,11420,38354
14393,11419,38379
18311,11419,38380
12241,11420,38383
10603,11419,38388
14739,11419,38388
16432,11420,38398
11809,11419,38402
13581,11420,38403
15811,11420,38407
18556,11420,38410
15811,11419,38416
18556,11419,38419
18379,11419,38425
15303,11420,38444
12472,11420,38452
15303,11419,38452
14276,11420,38453
14548,11420,38458
12472,11419,38459
14041,11419,38460
14276,11419,38461
15136,11420,38463
14548,11419,38466
17261,11420,38466
17261,11419,38474
16322,11419,38479
16921,11420,38485
13028,11419,38490
13544,11420,38492
17011,11420,38494
13544,11419,38500
17799,11420,38500
10280,11419,38502
17011,11419,38502
17799,11419,38508
10329,11420,38511
14651,11420,38515
15675,11420,38515
10329,11419,38519
11642,11420,38523
13115,11419,38523
13207,11420,38523
14651,11419,38523
15675,11419,38523
11136,11420,38526
13970,11420,38526
11642,11419,38530
13207,11419,38531
16253,11420,38531
13019,11419,38532
13970,11419,38534
16191,11420,38534
17761,11420,38535
12326,11419,38539
12534,11420,38541
16191,11419,38542
17761,11419,38543
15407,11420,38548
12534,11419,38549
14600,11419,38555
15407,11419,38555
16453,11419,38556
13610,11420,38565
13610,11419,38572
11025,11420,38578
18298,11419,38578
15956,11420,38582
11025,11419,38586
14154,11420,38586
18298,11420,38586
15956,11419,38589
18427,11420,38602
15479,11420,38604
12496,11420,38609
10317,11420,38610
17875,11419,38610
17173,11420,38611
18427,11419,38611
19601,11420,38612
15479,11419,38613
15439,11419,38614
18387,11419,38617
12496,11419,38618
19601,11419,38621
12192,11420,38623
14069,11420,38623
14716,11420,38624
19284,11420,38627
11534,11420,38630
11786,11420,38631
12192,11419,38632
14069,11419,38632
11354,11419,38633
14716,11419,38633
16333,11419,38633
14557,11419,38635
13589,11420,38636
17152,11420,38637
19284,11419,38637
17538,11420,38638
11534,11419,38640
10233,11420,38641
11670,11419,38641
11786,11419,38642
16333,11420,38642
15199,11420,38643
13589,11419,38647
17152,11419,38647
19224,11420,38651
10761,11419,38653
12704,11420,38654
15199,11419,38654
18744,11419,38656
11136,11419,38659
19224,11419,38660
17791,11419,38663
12704,11419,38664
19986,11419,38666
19882,11420,38667
11362,11420,38668
17382,11419,38670
11726,11419,38671
19570,11420,38674
19882,11419,38676
12509,11420,38678
10721,11420,38679
15110,11420,38682
17514,11419,38682
12976,11420,38684
10858,11420,38687
12509,11419,38687
18275,11419,38687
19338,11420,38687
10721,11419,38688
14812,11420,38691
15110,11419,38691
12976,11419,38693
19338,11419,38696
10858,11419,38697
12979,11419,38697
16351,11420,38697
18914,11419,38697
11803,11420,38698
14812,11419,38700
13547,11420,38704
16351,11419,38705
11803,11419,38707
10317,11419,38709
19597,11420,38709
17294,11419,38710
11818,11420,38713
13547,11419,38713
17485,11419,38714
17641,11419,38715
17778,11419,38715
17445,11420,38716
19597,11419,38716
10418,11420,38720
11252,11419,38721
12042,11420,38721
18395,11419,38721
12212,11420,38724
12888,11420,38726
10418,11419,38728
14657,11420,38728
15870,11420,38728
15451,11420,38730
12212,11419,38732
16543,11420,38732
17733,11420,38732
12888,11419,38735
15870,11419,38737
19254,11420,38738
13172,11420,38739
15451,11419,38740
14146,11420,38742
14241,11419,38742
16543,11419,38742
17733,11419,38742
18549,11420,38744
16427,11419,38745
10026,11420,38747
18468,11419,38747
19254,11419,38747
12034,11420,38749
19557,11419,38750
14146,11419,38751
19689,11419,38751
18549,11419,38753
13613,11420,38754
12843,11420,38755
14914,11419,38756
10026,11419,38757
12034,11419,38758
18523,11420,38758
10927,11419,38762
13613,11419,38763
16593,11420,38763
19051,11419,38763
12843,11419,38764
15937,11420,38764
17284,11420,38765
12183,11419,38766
16286,11420,38766
18523,11419,38767
19259,11420,38768
14535,11420,38771
16593,11419,38772
10482,11419,38773
15937,11419,38773
17396,11420,38773
11651,11420,38774
17284,11419,38774
19259,11419,38777
15341,11419,38779
12211,11420,38781
12776,11420,38781
14535,11419,38781
14611,11420,38782
16199,11419,38782
17396,11419,38783
11651,11419,38784
16987,11419,38784
18964,11419,38784
15607,11420,38785
16967,11420,38785
11378,11419,38787
18595,11420,38787
18268,11419,38790
12211,11419,38791
12776,11419,38791
14611,11419,38791
15607,11419,38794
16067,11420,38794
16967,11419,38794
18595,11419,38797
13215,11419,38799
15115,11419,38800
19269,11420,38805
18204,11420,38806
14546,11420,38807
15966,11420,38811
17208,11420,38811
19444,11419,38811
19938,11419,38812
16939,11419,38813
18747,11420,38813
18204,11419,38814
14546,11419,38816
11901,11420,38818
13007,11420,38818
10012,11420,38820
15966,11419,38820
17208,11419,38820
12919,11420,38822
13218,11419,38823
18747,11419,38823
14188,11420,38824
17233,11420,38825
11901,11419,38827
13007,11419,38827
19431,11419,38828
10012,11419,38830
19171,11420,38830
14188,11419,38833
16674,11420,38833
17233,11419,38834
16983,11420,38835
10750,11419,38837
13248,11420,38838
16159,11419,38840
16674,11419,38841
14783,11420,38844
16983,11419,38844
10935,11420,38847
18482,11419,38849
11084,11420,38853
14783,11419,38853
10935,11419,38855
17291,11419,38855
12513,11420,38856
18906,11420,38860
11084,11419,38861
12513,11419,38863
16017,11420,38863
19525,11420,38863
17116,11420,38864
11979,11420,38866
18906,11419,38867
16687,11420,38869
16017,11419,38870
13121,11419,38871
19525,11419,38871
17116,11419,38872
11979,11419,38875
14022,11420,38875
12729,11420,38876
12886,11419,38876
18048,11420,38876
16174,11420,38878
16687,11419,38878
17865,11419,38879
13030,11420,38881
11199,11420,38882
14022,11419,38882
12729,11419,38884
16946,11420,38884
13518,11420,38886
13650,11419,38886
16174,11419,38887
13030,11419,38889
16621,11420,38889
18705,11420,38890
11199,11419,38891
15166,11420,38891
16747,11420,38891
18687,11420,38892
16946,11419,38893
16200,11420,38894
17644,11420,38894
12195,11420,38895
13518,11419,38895
19367,11420,38896
11209,11420,38897
16621,11419,38897
18705,11419,38898
12355,11420,38899
17137,11419,38899
13663,11420,38900
15166,11419,38900
16747,11419,38901
14584,11420,38902
18687,11419,38902
10127,11420,38904
16200,11419,38904
12195,11419,38905
17644,11419,38905
19322,11419,38905
19367,11419,38907
11209,11419,38908
13159,11419,38908
13647,11420,38908
12355,11419,38909
17591,11420,38910
13663,11419,38911
19192,11420,38912
13330,11420,38913
14584,11419,38913
10127,11419,38914
13880,11420,38914
13647,11419,38917
16760,11420,38918
19839,11420,38918
16391,11419,38919
19192,11419,38921
13330,11419,38922
13880,11419,38923
10561,11420,38924
10855,11419,38924
19222,11419,38925
17006,11420,38926
19839,11419,38927
14205,11420,38928
10609,11419,38929
18096,11420,38930
10561,11419,38933
13406,11420,38933
15355,11420,38933
17006,11419,38934
10027,11420,38935
13355,11420,38936
10564,11420,38938
12408,11420,38938
19512,11419,38938
10579,11420,38939
18096,11419,38939
10737,11420,38940
13406,11419,38942
15355,11419,38942
10027,11419,38944
16672,11420,38944
13355,11419,38945
14338,11420,38945
17559,11419,38946
17121,11420,38947
10564,11419,38948
12408,11419,38948
16682,11420,38949
10579,11419,38950
14448,11420,38950
10084,11420,38951
10737,11419,38951
12480,11420,38953
16672,11419,38954
17259,11420,38954
14973,11420,38957
17121,11419,38957
14448,11419,38960
10084,11419,38961
10265,11420,38963
12480,11419,38963
12612,11420,38963
17259,11419,38964
17189,11419,38965
17306,11419,38965
17635,11420,38965
10981,11420,38967
14973,11419,38967
11153,11420,38969
17548,11420,38969
12612,11419,38972
16536,11420,38972
13505,11420,38974
11872,11419,38976
10981,11419,38977
11153,11419,38978
17548,11419,38979
19196,11420,38979
15899,11420,38980
19779,11419,38980
16536,11419,38982
19860,11420,38983
13505,11419,38984
17105,11420,38984
12842,11420,38985
15295,11419,38985
13377,11420,38986
19196,11419,38988
13558,11420,38989
15899,11419,38990
16633,11420,38990
18766,11419,38990
12809,11420,38992
19860,11419,38992
17105,11419,38993
17716,11420,38993
12842,11419,38995
13377,11419,38996
19399,11420,38996
13558,11419,39000
16633,11419,39000
11522,11420,39001
14094,11419,39001
12809,11419,39002
12312,11420,39003
15949,11420,39005
19399,11419,39006
13805,11420,39009
11522,11419,39010
12312,11419,39012
16848,11420,39012
19045,11420,39013
15824,11419,39014
15949,11419,39014
19326,11419,39015
11834,11420,39017
15452,11420,39017
13805,11419,39018
14121,11420,39019
15861,11420,39020
16848,11419,39020
19045,11419,39022
12447,11420,39023
11834,11419,39026
14121,11419,39028
13342,11419,39029
16682,11419,39029
13828,11420,39030
15238,11420,39030
15861,11419,39030
12447,11419,39032
19769,11420,39035
13498,11419,39036
16127,11420,39037
10708,11419,39038
11498,11420,39038
13828,11419,39038
15238,11419,39038
18442,11420,39039
19769,11419,39043
16127,11419,39045
11498,11419,39047
18442,11419,39047
15770,11420,39048
15518,11420,39049
12804,11420,39051
16466,11419,39051
19761,11420,39053
15766,11419,39055
15518,11419,39057
12804,11419,39059
12340,11420,39061
19761,11419,39061
11420,11420,39065
14130,11419,39065
14487,11420,39065
10812,11420,39066
14641,11420,39067
15469,11420,39068
12340,11419,39070
18727,11420,39070
13512,11420,39071
10704,11420,39072
11420,11419,39073
10812,11419,39075
10876,11419,39075
18664,11420,39076
14641,11419,39077
15469,11419,39077
17603,11419,39077
18489,11419,39077
12564,11420,39078
11693,11420,39079
18727,11419,39080
10565,11420,39081
13512,11419,39081
10704,11419,39082
18664,11419,39086
10656,11420,39087
12564,11419,39087
18718,11420,39087
10565,11419,39091
14533,11420,39093
13587,11420,39095
16737,11419,39095
10656,11419,39096
18718,11419,39096
16492,11419,39098
19485,11419,39098
14386,11420,39101
10243,11419,39103
18584,11420,39104
11846,11420,39105
13587,11419,39105
17822,11419,39105
11750,11420,39108
16105,11420,39108
19485,11420,39108
15922,11420,39109
14386,11419,39110
10243,11420,39113
18584,11419,39113
11846,11419,39114
12324,11420,39114
14869,11420,39114
16393,11420,39116
10983,11420,39119
11085,11420,39120
