id,sid,time
13569,20410,29278
13569,20411,29285
16433,20410,29306
12188,20510,29332
12188,20511,29339
11586,20410,29377
12375,20510,29398
11655,20410,29399
11655,20411,29407
13569,20410,29409
12188,20510,29419
11655,20410,29479
15518,20510,29549
15518,20511,29556
12429,20410,29566
12429,20411,29573
14165,20510,29619
14165,20511,29626
15518,20510,29639
19231,20410,29642
15222,20510,29676
12735,20510,29694
16965,20410,29694
16965,20411,29702
12429,20410,29719
14165,20510,29719
15561,20510,29779
16913,20410,29817
14445,20410,29825
18447,20510,29827
14445,20411,29832
18447,20511,29835
19916,20510,29841
15479,20510,29847
10982,20510,29852
18447,20510,29859
10982,20511,29861
18388,20410,29903
19192,20410,29931
19192,20411,29939
19387,20510,29943
13783,20410,29956
13159,20510,29963
16672,20510,29965
16965,20410,29969
13159,20511,29971
16672,20511,29973
18280,20510,29973
18280,20511,29981
15671,20410,29988
17242,20410,30007
17242,20411,30015
19192,20410,30029
13159,20510,30039
14445,20410,30049
19157,20510,30076
10982,20510,30079
10172,20510,30081
10172,20511,30088
18280,20510,30089
14930,20410,30098
17242,20410,30099
14930,20411,30106
15028,20410,30124
15028,20411,30131
17281,20510,30143
14930,20410,30149
17281,20511,30151
12196,20510,30175
10172,20510,30179
12196,20511,30182
10941,20410,30210
10941,20411,30217
16672,20510,30219
12745,20510,30230
13901,20510,30230
12745,20511,30237
13901,20511,30237
17105,20510,30237
17105,20511,30244
12196,20510,30259
10941,20410,30279
12745,20510,30279
19574,20510,30306
10985,20510,30319
15028,20410,30319
17105,20510,30359
17281,20510,30369
11213,20410,30388
11792,20510,30388
13901,20510,30389
17573,20510,30431
17573,20511,30438
17355,20410,30472
18352,20510,30477
17355,20411,30479
17573,20510,30509
11213,20411,30519
16208,20510,30522
16208,20511,30549
16773,20410,30583
16773,20411,30590
19802,20510,30609
19802,20511,30617
18738,20510,30636
11213,20410,30649
17154,20510,30651
17154,20511,30658
16773,20410,30679
16427,20410,30698
16208,20510,30699
12779,20410,30704
17355,20410,30729
19802,20510,30759
17154,20510,31019
17286,20510,31057
17286,20511,31064
17286,20510,31099
14716,20510,31248
18780,20410,31255
18780,20411,31262
15165,20410,31266
15165,20411,31273
18907,20410,31371
18907,20411,31378
18780,20410,31449
15165,20410,31469
12975,20410,31510
12975,20411,31517
11096,20510,31533
18907,20410,31539
11182,20410,31628
11535,20410,31651
15979,20510,31656
11535,20411,31658
15979,20511,31663
15979,20510,31689
19445,20510,31709
15506,20410,31710
19445,20511,31716
14894,20510,31720
11535,20410,31729
14739,20510,31755
19445,20510,31769
14535,20510,31775
14535,20511,31783
12975,20410,31799
14535,20510,31859
18387,20510,31894
18468,20510,31980
18468,20511,31986
18468,20510,32019
13999,20410,32023
19588,20410,32026
14391,20510,32082
14391,20511,32089
15607,20510,32112
18596,20410,32112
15607,20511,32119
17538,20510,32197
17538,20511,32203
13741,20510,32243
18486,20410,32248
13741,20511,32249
14391,20510,32259
10545,20410,32260
17538,20510,32299
